n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split,funding_p8h,bh_return,max_dd_pct,final_equity
309,0.4887,1.394,-0.927,1.438,0.2076,64.13,79.16,21.0,0.676,BTC/USDT:USDT,C1_BOS_H4v2,ALL,6.6e-05,1.6029,0.2439,18503.81
186,0.5215,1.38,-0.962,1.562,0.259,48.18,63.53,21.0,0.828,BTC/USDT:USDT,C1_BOS_H4v2,TRAIN,6.6e-05,1.6029,0.2324,15932.66
123,0.439,1.421,-0.881,1.263,0.1297,15.96,33.3,21.0,0.447,BTC/USDT:USDT,C1_BOS_H4v2,TEST,6.6e-05,1.6029,0.2439,11613.76
91,0.1538,1.078,-1.04,0.189,-0.7138,-64.96,64.02,25.0,0.451,BTC/USDT:USDT,C2_MTF_SWEEP,ALL,6.6e-05,1.6029,0.4757,5193.69
51,0.1765,0.974,-0.997,0.209,-0.6489,-33.09,32.15,25.0,0.49,BTC/USDT:USDT,C2_MTF_SWEEP,TRAIN,6.6e-05,1.6029,0.2771,7160.85
40,0.125,1.266,-1.091,0.166,-0.7966,-31.86,30.75,25.0,0.4,BTC/USDT:USDT,C2_MTF_SWEEP,TEST,6.6e-05,1.6029,0.2665,7252.89
478,0.4707,1.075,-0.983,0.972,-0.0144,-6.87,40.36,25.0,0.46,BTC/USDT:USDT,C2_MTF_BASE,ALL,6.6e-05,1.6029,0.283,9044.08
292,0.4863,0.964,-0.988,0.923,-0.0389,-11.36,31.73,25.0,0.459,BTC/USDT:USDT,C2_MTF_BASE,TRAIN,6.6e-05,1.6029,0.283,8765.44
186,0.4462,1.265,-0.976,1.045,0.0242,4.49,28.72,25.0,0.462,BTC/USDT:USDT,C2_MTF_BASE,TEST,6.6e-05,1.6029,0.1813,10317.88
294,0.432,1.581,-0.904,1.33,0.1695,49.84,58.15,21.0,0.65,ETH/USDT:USDT,C1_BOS_H4v2,ALL,6.8e-05,0.2914,0.2586,16036.87
139,0.3885,1.654,-0.954,1.101,0.0588,8.17,30.15,21.0,0.633,ETH/USDT:USDT,C1_BOS_H4v2,TRAIN,6.8e-05,0.2914,0.1687,10716.58
155,0.471,1.527,-0.851,1.597,0.2688,41.67,49.49,21.0,0.665,ETH/USDT:USDT,C1_BOS_H4v2,TEST,6.8e-05,0.2914,0.2586,14964.54
96,0.3021,0.896,-1.023,0.379,-0.4431,-42.54,41.46,25.0,0.312,ETH/USDT:USDT,C2_MTF_SWEEP,ALL,6.8e-05,0.2914,0.343,6499.22
77,0.2987,1.005,-1.012,0.423,-0.4091,-31.5,30.43,25.0,0.299,ETH/USDT:USDT,C2_MTF_SWEEP,TRAIN,6.8e-05,0.2914,0.2657,7264.1
19,0.3158,0.479,-1.07,0.207,-0.5806,-11.03,10.9,25.0,0.368,ETH/USDT:USDT,C2_MTF_SWEEP,TEST,6.8e-05,0.2914,0.1038,8947.04
411,0.5207,1.088,-0.979,1.207,0.0973,40.01,51.93,25.0,0.319,ETH/USDT:USDT,C2_MTF_BASE,ALL,6.8e-05,0.2914,0.3537,14507.94
269,0.5019,1.05,-0.962,1.1,0.0477,12.84,43.42,25.0,0.323,ETH/USDT:USDT,C2_MTF_BASE,TRAIN,6.8e-05,0.2914,0.3537,11176.11
142,0.5563,1.154,-1.016,1.424,0.1913,27.17,36.72,25.0,0.31,ETH/USDT:USDT,C2_MTF_BASE,TEST,6.8e-05,0.2914,0.1098,12981.21
318,0.5126,1.577,-0.918,1.806,0.3606,114.68,127.2,20.9,0.733,BNB/USDT:USDT,C1_BOS_H4v2,ALL,-1.5e-05,2.0721,0.196,30537.88
150,0.4067,1.596,-0.943,1.161,0.0898,13.47,28.77,21.0,0.693,BNB/USDT:USDT,C1_BOS_H4v2,TRAIN,-1.5e-05,2.0721,0.1685,11293.09
168,0.6071,1.565,-0.885,2.734,0.6024,101.21,104.74,20.8,0.768,BNB/USDT:USDT,C1_BOS_H4v2,TEST,-1.5e-05,2.0721,0.196,27041.2
120,0.3083,1.408,-1.033,0.608,-0.2803,-33.63,33.2,25.0,0.433,BNB/USDT:USDT,C2_MTF_SWEEP,ALL,-1.5e-05,2.0721,0.2869,7080.29
84,0.2976,1.279,-1.048,0.517,-0.3554,-29.86,32.64,25.0,0.31,BNB/USDT:USDT,C2_MTF_SWEEP,TRAIN,-1.5e-05,2.0721,0.2821,7375.62
36,0.3333,1.676,-0.995,0.842,-0.1049,-3.78,13.99,25.0,0.722,BNB/USDT:USDT,C2_MTF_SWEEP,TEST,-1.5e-05,2.0721,0.1269,9599.59
496,0.5222,1.216,-0.965,1.376,0.1736,86.09,87.22,25.0,0.429,BNB/USDT:USDT,C2_MTF_BASE,ALL,-1.5e-05,2.0721,0.301,22796.77
333,0.5255,1.17,-0.947,1.369,0.1658,55.22,53.31,25.0,0.363,BNB/USDT:USDT,C2_MTF_BASE,TRAIN,-1.5e-05,2.0721,0.301,16965.32
163,0.5153,1.309,-1.002,1.39,0.1894,30.87,40.38,25.0,0.564,BNB/USDT:USDT,C2_MTF_BASE,TEST,-1.5e-05,2.0721,0.2823,13437.28
324,0.4228,1.361,-0.857,1.164,0.0811,26.28,53.19,20.9,0.679,SOL/USDT:USDT,C1_BOS_H4v2,ALL,4.6e-05,4.6845,0.3504,12699.7
190,0.4842,1.307,-0.884,1.388,0.1769,33.61,53.19,21.0,0.747,SOL/USDT:USDT,C1_BOS_H4v2,TRAIN,4.6e-05,4.6845,0.2097,13794.44
134,0.3358,1.472,-0.827,0.9,-0.0547,-7.33,23.56,20.7,0.582,SOL/USDT:USDT,C1_BOS_H4v2,TEST,4.6e-05,4.6845,0.2117,9206.39
102,0.3235,0.908,-1.014,0.428,-0.3921,-39.99,38.96,25.0,0.382,SOL/USDT:USDT,C2_MTF_SWEEP,ALL,4.6e-05,4.6845,0.3265,6665.13
75,0.2933,1.058,-1.009,0.435,-0.4027,-30.2,33.42,25.0,0.36,SOL/USDT:USDT,C2_MTF_SWEEP,TRAIN,4.6e-05,4.6845,0.2854,7359.47
27,0.4074,0.607,-1.029,0.406,-0.3625,-9.79,8.74,25.0,0.444,SOL/USDT:USDT,C2_MTF_SWEEP,TEST,4.6e-05,4.6845,0.0847,9056.54
525,0.5181,1.082,-0.947,1.228,0.1042,54.72,79.84,25.0,0.385,SOL/USDT:USDT,C2_MTF_BASE,ALL,4.6e-05,4.6845,0.2697,16701.9
