n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,strategy,split
247,0.4899,1.394,-0.922,1.452,0.2127,52.53,63.92,21.0,0.68,BTC,C1_SESSION_DEAD,ALL
145,0.531,1.403,-0.975,1.63,0.2881,41.77,54.53,21.0,0.855,BTC,C1_SESSION_DEAD,TRAIN
102,0.4314,1.379,-0.86,1.216,0.1055,10.76,26.67,21.0,0.431,BTC,C1_SESSION_DEAD,TEST
268,0.4925,1.41,-0.961,1.424,0.2069,55.45,72.74,21.0,0.675,BTC,C1_SESSION_FRI,ALL
163,0.5399,1.377,-1.008,1.603,0.2796,45.58,59.46,21.0,0.828,BTC,C1_SESSION_FRI,TRAIN
105,0.419,1.475,-0.902,1.179,0.094,9.87,33.87,21.0,0.438,BTC,C1_SESSION_FRI,TEST
212,0.4811,1.414,-0.952,1.377,0.1864,39.52,53.52,21.0,0.67,BTC,C1_SESSION_ALL,ALL
126,0.5397,1.403,-1.014,1.623,0.2906,36.62,48.22,21.0,0.849,BTC,C1_SESSION_ALL,TRAIN
86,0.3953,1.436,-0.883,1.063,0.0338,2.9,27.22,21.0,0.407,BTC,C1_SESSION_ALL,TEST
309,0.4887,1.394,-0.927,1.438,0.2076,64.13,79.16,21.0,0.676,BTC,C1_BASE,ALL
186,0.5215,1.38,-0.962,1.562,0.259,48.18,63.53,21.0,0.828,BTC,C1_BASE,TRAIN
123,0.439,1.421,-0.881,1.263,0.1297,15.96,33.3,21.0,0.447,BTC,C1_BASE,TEST
233,0.4077,1.555,-0.884,1.211,0.1104,25.71,39.0,21.0,0.665,ETH,C1_SESSION_DEAD,ALL
106,0.3585,1.66,-0.93,0.997,-0.0017,-0.18,21.82,21.0,0.679,ETH,C1_SESSION_DEAD,TRAIN
127,0.4488,1.486,-0.84,1.44,0.2039,25.89,37.65,21.0,0.654,ETH,C1_SESSION_DEAD,TEST
256,0.4453,1.609,-0.949,1.361,0.1902,48.69,53.77,21.0,0.645,ETH,C1_SESSION_FRI,ALL
123,0.3984,1.623,-0.979,1.098,0.0578,7.1,28.02,21.0,0.626,ETH,C1_SESSION_FRI,TRAIN
133,0.4887,1.599,-0.917,1.667,0.3127,41.59,46.05,21.0,0.662,ETH,C1_SESSION_FRI,TEST
201,0.4179,1.595,-0.941,1.217,0.1189,23.9,35.01,21.0,0.657,ETH,C1_SESSION_ALL,ALL
92,0.3696,1.626,-0.958,0.995,-0.003,-0.27,20.91,21.0,0.663,ETH,C1_SESSION_ALL,TRAIN
109,0.4587,1.573,-0.923,1.444,0.2218,24.18,33.63,21.0,0.651,ETH,C1_SESSION_ALL,TEST
294,0.432,1.581,-0.904,1.33,0.1695,49.84,58.15,21.0,0.65,ETH,C1_BASE,ALL
139,0.3885,1.654,-0.954,1.101,0.0588,8.17,30.15,21.0,0.633,ETH,C1_BASE,TRAIN
155,0.471,1.527,-0.851,1.597,0.2688,41.67,49.49,21.0,0.665,ETH,C1_BASE,TEST
265,0.4981,1.606,-0.911,1.751,0.3431,90.92,100.77,20.9,0.743,BNB,C1_SESSION_DEAD,ALL
123,0.4065,1.61,-0.947,1.164,0.0924,11.36,26.59,21.0,0.724,BNB,C1_SESSION_DEAD,TRAIN
142,0.5775,1.605,-0.867,2.53,0.5603,79.56,82.0,20.8,0.761,BNB,C1_SESSION_DEAD,TEST
274,0.4854,1.627,-0.944,1.626,0.304,83.3,91.42,20.9,0.734,BNB,C1_SESSION_FRI,ALL
131,0.3893,1.637,-0.983,1.062,0.0372,4.87,16.17,21.0,0.71,BNB,C1_SESSION_FRI,TRAIN
143,0.5734,1.62,-0.892,2.441,0.5485,78.43,81.96,20.8,0.755,BNB,C1_SESSION_FRI,TEST
227,0.467,1.654,-0.942,1.538,0.2703,61.35,72.46,20.9,0.749,BNB,C1_SESSION_ALL,ALL
106,0.3868,1.672,-0.998,1.057,0.0347,3.68,15.54,21.0,0.745,BNB,C1_SESSION_ALL,TRAIN
121,0.5372,1.643,-0.877,2.175,0.4766,57.67,64.74,20.8,0.752,BNB,C1_SESSION_ALL,TEST
318,0.5126,1.577,-0.918,1.806,0.3606,114.68,127.2,20.9,0.733,BNB,C1_BASE,ALL
150,0.4067,1.596,-0.943,1.161,0.0898,13.47,28.77,21.0,0.693,BNB,C1_BASE,TRAIN
168,0.6071,1.565,-0.885,2.734,0.6024,101.21,104.74,20.8,0.768,BNB,C1_BASE,TEST
271,0.4354,1.385,-0.838,1.274,0.1298,35.17,54.56,20.8,0.683,SOL,C1_SESSION_DEAD,ALL
157,0.5096,1.343,-0.852,1.638,0.2665,41.83,54.56,21.0,0.752,SOL,C1_SESSION_DEAD,TRAIN
114,0.3333,1.473,-0.824,0.894,-0.0585,-6.66,19.6,20.6,0.588,SOL,C1_SESSION_DEAD,TEST
269,0.4126,1.397,-0.875,1.122,0.0625,16.81,42.98,20.8,0.677,SOL,C1_SESSION_FRI,ALL
157,0.4586,1.316,-0.877,1.272,0.1289,20.24,42.98,21.0,0.764,SOL,C1_SESSION_FRI,TRAIN
112,0.3482,1.547,-0.873,0.946,-0.0306,-3.43,20.55,20.6,0.554,SOL,C1_SESSION_FRI,TEST
223,0.426,1.4,-0.863,1.204,0.1011,22.53,43.43,20.8,0.682,SOL,C1_SESSION_ALL,ALL
129,0.4884,1.316,-0.841,1.493,0.2123,27.38,43.43,21.0,0.767,SOL,C1_SESSION_ALL,TRAIN
94,0.3404,1.564,-0.886,0.912,-0.0516,-4.85,16.48,20.5,0.564,SOL,C1_SESSION_ALL,TEST
324,0.4228,1.361,-0.857,1.164,0.0811,26.28,53.19,20.9,0.679,SOL,C1_BASE,ALL
190,0.4842,1.307,-0.884,1.388,0.1769,33.61,53.19,21.0,0.747,SOL,C1_BASE,TRAIN
134,0.3358,1.472,-0.827,0.9,-0.0547,-7.33,23.56,20.7,0.582,SOL,C1_BASE,TEST
251,0.506,1.503,-0.793,1.941,0.3686,92.53,96.01,21.0,0.45,XRP,C1_SESSION_DEAD,ALL
120,0.4583,1.524,-0.776,1.662,0.2782,33.38,38.6,21.0,0.575,XRP,C1_SESSION_DEAD,TRAIN
131,0.5496,1.487,-0.812,2.234,0.4515,59.15,64.19,21.0,0.336,XRP,C1_SESSION_DEAD,TEST
254,0.5039,1.537,-0.79,1.977,0.3828,97.23,101.75,21.0,0.461,XRP,C1_SESSION_FRI,ALL
120,0.4583,1.563,-0.761,1.737,0.304,36.48,44.56,21.0,0.6,XRP,C1_SESSION_FRI,TRAIN
134,0.5448,1.518,-0.82,2.214,0.4534,60.75,66.83,21.0,0.336,XRP,C1_SESSION_FRI,TEST
210,0.5238,1.508,-0.799,2.076,0.4096,86.01,89.49,21.0,0.462,XRP,C1_SESSION_ALL,ALL
101,0.4851,1.515,-0.745,1.917,0.3515,35.5,39.71,21.0,0.594,XRP,C1_SESSION_ALL,TRAIN
109,0.5596,1.503,-0.858,2.226,0.4634,50.51,55.54,21.0,0.339,XRP,C1_SESSION_ALL,TEST
303,0.4851,1.523,-0.788,1.82,0.3328,100.85,105.37,21.0,0.449,XRP,C1_BASE,ALL
143,0.4266,1.566,-0.793,1.468,0.213,30.45,39.55,21.0,0.58,XRP,C1_BASE,TRAIN
160,0.5375,1.492,-0.783,2.215,0.44,70.39,76.47,21.0,0.331,XRP,C1_BASE,TEST
233,0.485,1.562,-0.837,1.757,0.3263,76.04,89.54,21.0,0.532,DOGE,C1_SESSION_DEAD,ALL
140,0.5714,1.669,-0.92,2.42,0.5596,78.35,87.6,21.0,0.636,DOGE,C1_SESSION_DEAD,TRAIN
93,0.3548,1.302,-0.755,0.949,-0.0249,-2.31,17.33,21.0,0.376,DOGE,C1_SESSION_DEAD,TEST
240,0.5208,1.538,-0.877,1.906,0.3807,91.36,103.1,21.0,0.517,DOGE,C1_SESSION_FRI,ALL
156,0.5897,1.67,-0.948,2.532,0.5961,93.0,103.1,21.0,0.609,DOGE,C1_SESSION_FRI,TRAIN
84,0.3929,1.169,-0.788,0.959,-0.0195,-1.64,21.75,21.0,0.345,DOGE,C1_SESSION_FRI,TEST
201,0.5025,1.542,-0.876,1.778,0.339,68.14,86.09,21.0,0.522,DOGE,C1_SESSION_ALL,ALL
126,0.5873,1.683,-0.943,2.539,0.5991,75.49,86.09,21.0,0.627,DOGE,C1_SESSION_ALL,TRAIN
75,0.36,1.154,-0.802,0.809,-0.098,-7.35,19.07,21.0,0.347,DOGE,C1_SESSION_ALL,TEST
278,0.5036,1.546,-0.842,1.863,0.3606,100.26,113.28,21.0,0.529,DOGE,C1_BASE,ALL
172,0.5756,1.651,-0.929,2.41,0.5561,95.66,104.42,21.0,0.616,DOGE,C1_BASE,TRAIN
106,0.3868,1.292,-0.744,1.095,0.0434,4.6,22.68,21.0,0.387,DOGE,C1_BASE,TEST
301,0.495,1.442,-0.891,1.587,0.264,79.48,93.02,21.0,0.522,ADA,C1_SESSION_DEAD,ALL
164,0.5,1.51,-0.927,1.629,0.2916,47.81,60.14,21.0,0.591,ADA,C1_SESSION_DEAD,TRAIN
137,0.4891,1.359,-0.849,1.533,0.2311,31.66,50.63,21.0,0.438,ADA,C1_SESSION_DEAD,TEST
306,0.4673,1.435,-0.898,1.402,0.1924,58.88,76.11,21.0,0.507,ADA,C1_SESSION_FRI,ALL
168,0.4464,1.528,-0.913,1.35,0.1767,29.68,47.74,21.0,0.589,ADA,C1_SESSION_FRI,TRAIN
138,0.4928,1.332,-0.877,1.475,0.2116,29.2,47.05,21.0,0.406,ADA,C1_SESSION_FRI,TEST
247,0.4737,1.431,-0.898,1.434,0.2051,50.67,60.87,21.0,0.506,ADA,C1_SESSION_ALL,ALL
133,0.4737,1.513,-0.932,1.462,0.2264,30.12,41.18,21.0,0.602,ADA,C1_SESSION_ALL,TRAIN
114,0.4737,1.334,-0.858,1.399,0.1803,20.55,38.05,21.0,0.395,ADA,C1_SESSION_ALL,TEST
369,0.4878,1.442,-0.893,1.537,0.2458,90.71,111.73,21.0,0.518,ADA,C1_BASE,ALL
