n,win_rate,avg_win_r,avg_loss_r,profit_factor,expectancy_r,total_r,max_dd_r,avg_bars,long_share,symbol,split,bars,total_trades,trades
309,0.4854,1.418,-0.913,1.465,0.2185,67.5,83.04,21.0,0.676,BTC,ALL,3989,309,309
186,0.5215,1.402,-0.95,1.609,0.2767,51.47,66.99,21.0,0.828,BTC,TRAIN,3989,309,186
123,0.4309,1.446,-0.865,1.265,0.1304,16.03,32.67,21.0,0.447,BTC,TEST,3989,309,123
294,0.4286,1.596,-0.891,1.344,0.1752,51.51,59.31,21.0,0.65,ETH,ALL,3989,294,294
139,0.3885,1.649,-0.946,1.108,0.0624,8.67,30.25,21.0,0.633,ETH,TRAIN,3989,294,139
155,0.4645,1.557,-0.834,1.619,0.2764,42.84,50.27,21.0,0.665,ETH,TEST,3989,294,155
140,0.5786,1.62,-0.911,2.443,0.5536,77.51,79.83,20.4,0.8,ZEC,ALL,1229,140,140
140,0.5786,1.62,-0.911,2.443,0.5536,77.51,79.83,20.4,0.8,ZEC,TEST,1229,140,140
324,0.4228,1.365,-0.854,1.171,0.0841,27.26,53.82,20.9,0.679,SOL,ALL,3989,324,324
190,0.4789,1.326,-0.872,1.397,0.1806,34.32,53.82,21.0,0.747,SOL,TRAIN,3989,324,190
134,0.3433,1.443,-0.834,0.904,-0.0527,-7.06,23.35,20.7,0.582,SOL,TEST,3989,324,134
119,0.6387,1.519,-0.939,2.858,0.6305,75.03,76.58,20.5,0.639,XAU,ALL,1000,119,119
119,0.6387,1.519,-0.939,2.858,0.6305,75.03,76.58,20.5,0.639,XAU,TEST,1000,119,119
303,0.4851,1.518,-0.794,1.801,0.3275,99.24,103.73,21.0,0.449,XRP,ALL,3989,303,303
143,0.4266,1.565,-0.794,1.467,0.2127,30.41,39.28,21.0,0.58,XRP,TRAIN,3989,303,143
160,0.5375,1.484,-0.795,2.17,0.4302,68.83,74.88,21.0,0.331,XRP,TEST,3989,303,160
121,0.5289,1.383,-0.817,1.901,0.3465,41.93,44.34,20.9,0.397,HYPE,ALL,1229,121,121
121,0.5289,1.383,-0.817,1.901,0.3465,41.93,44.34,20.9,0.397,HYPE,TEST,1229,121,121
67,0.4478,1.22,-0.892,1.109,0.0535,3.58,19.21,20.0,0.448,SKHYNIX,ALL,584,67,67
67,0.4478,1.22,-0.892,1.109,0.0535,3.58,19.21,20.0,0.448,SKHYNIX,TEST,584,67,67
278,0.5036,1.545,-0.844,1.857,0.3591,99.82,113.06,21.0,0.529,DOGE,ALL,3989,278,278
172,0.5814,1.638,-0.941,2.416,0.558,95.97,104.74,21.0,0.616,DOGE,TRAIN,3989,278,172
106,0.3774,1.315,-0.738,1.079,0.0363,3.85,22.06,21.0,0.387,DOGE,TEST,3989,278,106
99,0.5152,1.512,-0.809,1.985,0.3864,38.25,44.1,20.4,0.323,ARB,ALL,1229,99,99
99,0.5152,1.512,-0.809,1.985,0.3864,38.25,44.1,20.4,0.323,ARB,TEST,1229,99,99
109,0.4679,1.435,-0.908,1.39,0.1883,20.52,23.77,20.4,0.743,SNDK,ALL,917,109,109
109,0.4679,1.435,-0.908,1.39,0.1883,20.52,23.77,20.4,0.743,SNDK,TEST,917,109,109
318,0.5126,1.572,-0.919,1.798,0.3578,113.77,126.28,20.9,0.733,BNB,ALL,3989,318,318
150,0.4067,1.594,-0.945,1.156,0.0874,13.11,28.47,21.0,0.693,BNB,TRAIN,3989,318,150
168,0.6071,1.559,-0.884,2.725,0.5992,100.66,104.22,20.8,0.768,BNB,TEST,3989,318,168
105,0.4762,1.293,-0.81,1.451,0.1914,20.1,27.56,20.2,0.162,RAYSOL,ALL,1229,105,105
105,0.4762,1.293,-0.81,1.451,0.1914,20.1,27.56,20.2,0.162,RAYSOL,TEST,1229,105,105
128,0.5078,1.321,-0.847,1.61,0.2544,32.56,35.9,20.1,0.508,NEAR,ALL,1229,128,128
128,0.5078,1.321,-0.847,1.61,0.2544,32.56,35.9,20.1,0.508,NEAR,TEST,1229,128,128
81,0.5679,1.269,-0.851,1.96,0.3529,28.58,31.38,20.6,0.568,CL,ALL,954,81,81
81,0.5679,1.269,-0.851,1.96,0.3529,28.58,31.38,20.6,0.568,CL,TEST,954,81,81
116,0.3793,1.128,-0.811,0.85,-0.0757,-8.78,22.0,20.1,0.44,TAO,ALL,1229,116,116
116,0.3793,1.128,-0.811,0.85,-0.0757,-8.78,22.0,20.1,0.44,TAO,TEST,1229,116,116
91,0.4396,1.411,-0.759,1.457,0.1946,17.71,34.96,21.0,0.242,SUI,ALL,1229,91,91
91,0.4396,1.411,-0.759,1.457,0.1946,17.71,34.96,21.0,0.242,SUI,TEST,1229,91,91
400,0.445,1.622,-0.89,1.461,0.2278,91.14,96.46,20.9,0.635,LINK,ALL,3989,400,400
240,0.4333,1.625,-0.912,1.363,0.1874,44.97,54.33,21.0,0.588,LINK,TRAIN,3989,400,240
160,0.4625,1.618,-0.855,1.628,0.2886,46.17,49.34,20.7,0.706,LINK,TEST,3989,400,160
93,0.5054,1.286,-0.838,1.568,0.2354,21.9,27.1,20.7,0.237,UNI,ALL,1229,93,93
93,0.5054,1.286,-0.838,1.568,0.2354,21.9,27.1,20.7,0.237,UNI,TEST,1229,93,93
77,0.2078,1.28,-0.96,0.35,-0.4942,-38.06,39.46,21.0,0.506,SOXL,ALL,690,77,77
77,0.2078,1.28,-0.96,0.35,-0.4942,-38.06,39.46,21.0,0.506,SOXL,TEST,690,77,77
96,0.3646,1.733,-0.882,1.128,0.0715,6.86,24.66,20.9,0.469,XAG,ALL,1000,96,96
96,0.3646,1.733,-0.882,1.128,0.0715,6.86,24.66,20.9,0.469,XAG,TEST,1000,96,96
333,0.4505,1.055,-0.906,0.954,-0.0228,-7.61,40.58,20.9,0.306,WLD,ALL,3849,333,333
201,0.4975,1.14,-0.924,1.221,0.1027,20.64,37.82,21.0,0.383,WLD,TRAIN,3849,333,201
132,0.3788,0.884,-0.884,0.61,-0.214,-28.24,34.39,20.7,0.189,WLD,TEST,3849,333,132
