symbol,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,reason,bars_held,r,swept,atr,level
BTC/USDT:USDT,2023-07-02 12:00:00+00:00,2023-07-02 16:00:00+00:00,2023-07-03 16:00:00+00:00,1,30491.4,31213.756669775365,30130.22166511232,31213.756669775365,TP,13,1.8818091898749272,False,180.58916744384075,30149.9
BTC/USDT:USDT,2023-07-02 12:00:00+00:00,2023-07-02 16:00:00+00:00,2023-07-03 12:00:00+00:00,-1,30491.4,30852.578334887683,30852.578334887683,29769.04333022464,SL,13,-1.118190810125073,False,180.58916744384075,30668.2
BTC/USDT:USDT,2023-07-02 16:00:00+00:00,2023-07-02 20:00:00+00:00,2023-07-03 12:00:00+00:00,-1,30552.7,30959.39455690266,30959.39455690266,29739.61088619468,SL,13,-1.1051742131140396,True,203.29727845132885,30668.2
BTC/USDT:USDT,2023-07-02 20:00:00+00:00,2023-07-03 00:00:00+00:00,2023-07-03 12:00:00+00:00,-1,30612.7,31065.081949315638,31065.081949315638,29707.936101368727,SL,13,-1.0947380417473227,False,226.19097465781834,30800.0
BTC/USDT:USDT,2023-07-03 00:00:00+00:00,2023-07-03 04:00:00+00:00,2023-07-03 16:00:00+00:00,-1,30748.0,31199.43102274022,31199.43102274022,29844.837954519564,SL,13,-1.0953572037178576,False,225.76551137010924,30800.0
BTC/USDT:USDT,2023-07-03 04:00:00+00:00,2023-07-03 08:00:00+00:00,2023-07-03 12:00:00+00:00,-1,30662.9,31103.086886374855,31103.086886374855,29782.22622725029,SL,13,-1.0975223509122063,False,220.1434431874278,30800.0
BTC/USDT:USDT,2023-07-03 16:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-05 20:00:00+00:00,-1,31254.0,30488.4,31863.181330182386,30035.937339635224,TIMEOUT,13,1.1849417640292457,False,304.54066509119366,31395.2
BTC/USDT:USDT,2023-07-03 20:00:00+00:00,2023-07-04 00:00:00+00:00,2023-07-06 00:00:00+00:00,-1,31149.0,30477.7,31790.283819491404,29866.432361017192,TIMEOUT,13,0.9788043623146699,False,320.64190974570107,31395.2
BTC/USDT:USDT,2023-07-04 00:00:00+00:00,2023-07-04 04:00:00+00:00,2023-07-06 04:00:00+00:00,-1,31189.8,30792.3,31808.45931022588,29952.481379548237,TIMEOUT,13,0.5719372102729856,False,309.32965511294134,31395.2
BTC/USDT:USDT,2023-07-05 12:00:00+00:00,2023-07-05 16:00:00+00:00,2023-07-06 08:00:00+00:00,1,30345.1,31488.10001214871,29773.449993925646,31488.10001214871,TP,13,1.9251585068741681,False,285.7750030371765,30149.9
BTC/USDT:USDT,2023-07-06 08:00:00+00:00,2023-07-06 12:00:00+00:00,2023-07-08 12:00:00+00:00,-1,30833.0,30196.7,31562.21881284657,29374.562374306857,TIMEOUT,13,0.8133824711469635,False,364.60940642328524,31568.0
BTC/USDT:USDT,2023-07-06 12:00:00+00:00,2023-07-06 16:00:00+00:00,2023-07-08 16:00:00+00:00,1,30390.3,30100.0,29491.270362199637,32188.359275600724,TIMEOUT,13,-0.3702285286326799,True,449.5148189001807,30149.9
BTC/USDT:USDT,2023-07-06 16:00:00+00:00,2023-07-06 20:00:00+00:00,2023-07-08 20:00:00+00:00,1,30294.6,30269.3,29432.587647239685,32018.624705520626,TIMEOUT,13,-0.07855158894553221,True,431.0061763801567,30175.8
BTC/USDT:USDT,2023-07-07 00:00:00+00:00,2023-07-07 04:00:00+00:00,2023-07-09 04:00:00+00:00,1,30122.1,30250.0,29228.20805503781,31909.88388992438,TIMEOUT,13,0.09590539492290384,False,446.9459724810956,29680.0
BTC/USDT:USDT,2023-07-10 12:00:00+00:00,2023-07-10 16:00:00+00:00,2023-07-10 16:00:00+00:00,-1,30297.5,30731.831995612214,30731.831995612214,29429.136008775567,SL,13,-1.0976591649441154,False,217.11599780610842,30443.6
BTC/USDT:USDT,2023-07-10 20:00:00+00:00,2023-07-11 00:00:00+00:00,2023-07-13 00:00:00+00:00,-1,30396.9,30283.7,31113.892032259846,28962.915935480312,TIMEOUT,13,0.0985287657623489,False,358.49601612992143,31040.0
BTC/USDT:USDT,2023-07-12 12:00:00+00:00,2023-07-12 16:00:00+00:00,2023-07-13 12:00:00+00:00,-1,30510.1,31138.838975833634,31138.838975833634,29252.922048332734,SL,13,-1.0679362050736014,False,314.3194879168171,31040.0
BTC/USDT:USDT,2023-07-13 12:00:00+00:00,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,-1,30915.5,31590.62671146707,31590.62671146707,29564.946577065864,SL,13,-1.0641090024507363,True,337.6133557335336,31040.0
BTC/USDT:USDT,2023-07-13 16:00:00+00:00,2023-07-13 20:00:00+00:00,2023-07-15 20:00:00+00:00,-1,31600.5,30276.4,32492.463149938125,29816.873700123746,TIMEOUT,13,1.434879120386063,False,445.93157496906247,31850.0
BTC/USDT:USDT,2023-07-13 20:00:00+00:00,2023-07-14 00:00:00+00:00,2023-07-16 00:00:00+00:00,-1,31441.6,30174.1,32401.28806327971,29522.523873440583,TIMEOUT,13,1.274874416817044,False,479.7940316398543,31850.0
