symbol,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,reason,bars_held,r,swept,atr,level
BTC/USDT:USDT,2023-07-03 12:00:00+00:00,2023-07-03 16:00:00+00:00,2023-07-05 08:00:00+00:00,1,31068.0,30545.213849789554,30545.213849789554,32113.572300420892,SL,21,-1.0831988375791728,False,261.39307510522343,30800.0
BTC/USDT:USDT,2023-07-24 08:00:00+00:00,2023-07-24 12:00:00+00:00,2023-07-27 20:00:00+00:00,-1,29259.7,29209.7,29905.470692660994,27967.858614678007,TIMEOUT,21,0.013993233360845316,False,322.9353463304979,29602.2
BTC/USDT:USDT,2023-07-30 16:00:00+00:00,2023-07-30 20:00:00+00:00,2023-07-31 00:00:00+00:00,-1,29187.2,29472.783821587476,29472.783821587476,28616.03235682505,SL,21,-1.143082615019506,False,142.7919107937372,29237.5
BTC/USDT:USDT,2023-08-04 16:00:00+00:00,2023-08-04 20:00:00+00:00,2023-08-08 04:00:00+00:00,-1,29021.0,29177.0,29499.022258295074,28064.955483409853,TIMEOUT,21,-0.41133942319193123,False,239.0111291475369,29079.6
BTC/USDT:USDT,2023-08-07 12:00:00+00:00,2023-08-07 16:00:00+00:00,2023-08-07 20:00:00+00:00,-1,28853.2,29189.703011335954,29189.703011335954,28180.193977328094,SL,21,-1.1200419569490019,False,168.25150566797646,28978.5
BTC/USDT:USDT,2023-08-13 20:00:00+00:00,2023-08-14 00:00:00+00:00,2023-08-14 12:00:00+00:00,-1,29293.3,29493.559403739466,29493.559403739466,28892.781192521066,SL,21,-1.2047874868006399,False,100.12970186973357,29343.8
BTC/USDT:USDT,2023-08-16 20:00:00+00:00,2023-08-17 00:00:00+00:00,2023-08-17 12:00:00+00:00,-1,28714.4,27890.911206001205,29126.1443969994,27890.911206001205,TP,21,1.9023662245486277,False,205.87219849969875,29050.0
BTC/USDT:USDT,2023-08-17 12:00:00+00:00,2023-08-17 16:00:00+00:00,2023-08-17 20:00:00+00:00,-1,27920.9,26790.922632189642,28485.88868390518,26790.922632189642,TP,21,1.9308140833373573,False,282.4943419525906,28288.6
BTC/USDT:USDT,2023-08-17 16:00:00+00:00,2023-08-17 20:00:00+00:00,2023-08-17 20:00:00+00:00,-1,27889.4,26708.486281231024,28479.85685938449,26708.486281231024,TP,21,1.9338729673820676,False,295.2284296922452,28288.6
BTC/USDT:USDT,2023-08-22 16:00:00+00:00,2023-08-22 20:00:00+00:00,2023-08-23 16:00:00+00:00,-1,25767.1,26200.656919249835,26200.656919249835,24900.28616150033,SL,21,-1.0832046229648855,False,216.72845962491746,25800.0
BTC/USDT:USDT,2023-08-31 12:00:00+00:00,2023-08-31 16:00:00+00:00,2023-09-01 16:00:00+00:00,-1,26909.4,25541.650820663905,27593.424589668048,25541.650820663905,TP,21,1.9444856799396297,False,341.9622948340234,26950.0
BTC/USDT:USDT,2023-08-31 16:00:00+00:00,2023-08-31 20:00:00+00:00,2023-09-04 04:00:00+00:00,-1,26148.7,25953.8,27018.047977712307,24410.004044575388,TIMEOUT,21,0.18208108152105806,False,434.673988856154,26950.0
BTC/USDT:USDT,2023-09-06 12:00:00+00:00,2023-09-06 16:00:00+00:00,2023-09-06 16:00:00+00:00,-1,25576.3,25907.201825102526,25907.201825102526,24914.496349794947,SL,21,-1.1082097990511404,False,165.4509125512638,25610.0
