symbol,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,reason,bars_held,r,swept,atr,level
DOT/USDT:USDT,2023-07-02 16:00:00+00:00,2023-07-02 20:00:00+00:00,2023-07-05 08:00:00+00:00,1,5.377,5.190145397879433,5.190145397879433,5.750709204241134,SL,21,-1.0402869392274465,False,0.09342730106028335,5.367
DOT/USDT:USDT,2023-07-02 20:00:00+00:00,2023-07-03 00:00:00+00:00,2023-07-04 16:00:00+00:00,1,5.494,5.289926011495509,5.289926011495509,5.9021479770089815,SL,21,-1.0376902517384312,False,0.10203699425224562,5.367
DOT/USDT:USDT,2023-07-20 04:00:00+00:00,2023-07-20 08:00:00+00:00,2023-07-21 00:00:00+00:00,1,5.31,5.687950048372267,5.1225249758138665,5.687950048372267,TP,21,1.9763488495641068,False,0.09423751209306658,5.255
DOT/USDT:USDT,2023-07-20 08:00:00+00:00,2023-07-20 12:00:00+00:00,2023-07-20 20:00:00+00:00,1,5.449,5.247321645705352,5.247321645705352,5.849356708589298,SL,21,-1.0378255764069493,False,0.10033917714732445,5.255
DOT/USDT:USDT,2023-07-26 16:00:00+00:00,2023-07-26 20:00:00+00:00,2023-07-30 04:00:00+00:00,1,5.256,5.232,5.1034880648964815,5.558023870207037,TIMEOUT,21,-0.2056127605929022,False,0.07575596755175906,5.252
DOT/USDT:USDT,2023-07-27 00:00:00+00:00,2023-07-27 04:00:00+00:00,2023-07-30 12:00:00+00:00,1,5.265,5.245,5.112939924300024,5.569120151399951,TIMEOUT,21,-0.18000122566033908,False,0.0760300378499879,5.252
DOT/USDT:USDT,2023-07-30 16:00:00+00:00,2023-07-30 20:00:00+00:00,2023-07-31 00:00:00+00:00,-1,5.136,5.250176554478559,5.250176554478559,4.910646891042881,SL,21,-1.0629761515649019,False,0.05658827723927981,5.219
DOT/USDT:USDT,2023-07-31 16:00:00+00:00,2023-07-31 20:00:00+00:00,2023-08-04 04:00:00+00:00,-1,5.075,4.986,5.218026690787037,4.788946618425926,TIMEOUT,21,0.5725854352733352,False,0.0715133453935188,5.078
DOT/USDT:USDT,2023-08-03 04:00:00+00:00,2023-08-03 08:00:00+00:00,2023-08-06 16:00:00+00:00,-1,5.002,4.996,5.136185415202821,4.733629169594358,TIMEOUT,21,-0.007473241398738679,False,0.06709270760141052,5.005
DOT/USDT:USDT,2023-08-07 12:00:00+00:00,2023-08-07 16:00:00+00:00,2023-08-08 12:00:00+00:00,-1,4.925,5.037708567324895,5.037708567324895,4.69958286535021,SL,21,-1.0611754737341694,False,0.05635428366244748,4.954
DOT/USDT:USDT,2023-08-09 16:00:00+00:00,2023-08-09 20:00:00+00:00,2023-08-13 04:00:00+00:00,-1,5.013,5.033,5.118650739188739,4.79869852162252,TIMEOUT,21,-0.2557312916830038,False,0.05332536959436982,5.024
DOT/USDT:USDT,2023-08-11 12:00:00+00:00,2023-08-11 16:00:00+00:00,2023-08-14 12:00:00+00:00,-1,4.969,5.049834687979883,5.049834687979883,4.807330624040234,SL,21,-1.0860595886970115,False,0.04041734398994154,4.97
DOT/USDT:USDT,2023-08-22 16:00:00+00:00,2023-08-22 20:00:00+00:00,2023-08-23 12:00:00+00:00,-1,4.32,4.449845356347836,4.449845356347836,4.057309287304327,SL,21,-1.0465784851311766,False,0.06542267817391827,4.347
DOT/USDT:USDT,2023-08-31 00:00:00+00:00,2023-08-31 04:00:00+00:00,2023-08-31 16:00:00+00:00,-1,4.481,4.224784465797287,4.6091077671013565,4.224784465797287,TP,21,1.9510302915900752,False,0.06405388355067837,4.5
DOT/USDT:USDT,2023-08-31 04:00:00+00:00,2023-08-31 08:00:00+00:00,2023-08-31 16:00:00+00:00,-1,4.487,4.250079870357648,4.603960064821176,4.250079870357648,TP,21,1.97194085002418,False,0.0589800324105879,4.5
DOT/USDT:USDT,2023-08-31 08:00:00+00:00,2023-08-31 12:00:00+00:00,2023-08-31 16:00:00+00:00,-1,4.488,4.254802554309963,4.603098722845019,4.254802554309963,TP,21,1.9714749224070898,False,0.05804936142250946,4.5
DOT/USDT:USDT,2023-08-31 12:00:00+00:00,2023-08-31 16:00:00+00:00,2023-09-04 00:00:00+00:00,-1,4.365,4.28,4.505818893132349,4.086362213735301,TIMEOUT,21,0.5602160210551863,False,0.0699094465661749,4.5
DOT/USDT:USDT,2023-09-06 12:00:00+00:00,2023-09-06 16:00:00+00:00,2023-09-07 20:00:00+00:00,-1,4.215,4.2987655449142155,4.2987655449142155,4.047468910171569,SL,21,-1.0704466258297873,False,0.04188277245710769,4.224
DOT/USDT:USDT,2023-09-11 08:00:00+00:00,2023-09-11 12:00:00+00:00,2023-09-14 20:00:00+00:00,-1,4.005,4.055,4.14747877871544,3.7200424425691194,TIMEOUT,21,-0.39028268280610806,False,0.07123938935772002,4.085
DOT/USDT:USDT,2023-09-11 12:00:00+00:00,2023-09-11 16:00:00+00:00,2023-09-15 00:00:00+00:00,-1,4.005,4.084,4.149481608220048,3.719036783559904,TIMEOUT,21,-0.5855901041130548,False,0.07174080411002404,4.085
DOT/USDT:USDT,2023-09-17 04:00:00+00:00,2023-09-17 08:00:00+00:00,2023-09-18 12:00:00+00:00,-1,4.106,4.208835058166389,4.208835058166389,3.900329883667222,SL,21,-1.0558992244716678,False,0.05141752908319462,4.128
DOT/USDT:USDT,2023-09-17 08:00:00+00:00,2023-09-17 12:00:00+00:00,2023-09-18 12:00:00+00:00,-1,4.113,4.2127903837442044,4.2127903837442044,3.9134192325115924,SL,21,-1.0577029547732792,False,0.049895191872102014,4.128
