symbol,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,reason,bars_held,r,swept,atr,level
SOL/USDT:USDT,2023-07-06 16:00:00+00:00,2023-07-06 20:00:00+00:00,2023-07-07 00:00:00+00:00,1,20.884,19.410792060943365,19.410792060943365,23.833415878113275,SL,21,-1.0198462139830187,False,0.7371039695283187,19.95
SOL/USDT:USDT,2023-07-07 12:00:00+00:00,2023-07-07 16:00:00+00:00,2023-07-11 00:00:00+00:00,1,21.214,21.725,19.202234767649507,25.23453046470099,TIMEOUT,21,0.23924282628031338,False,1.0053826161752464,20.98
SOL/USDT:USDT,2023-07-07 16:00:00+00:00,2023-07-07 20:00:00+00:00,2023-07-11 04:00:00+00:00,1,21.417,22.1,19.536936798629572,25.180126402740854,TIMEOUT,21,0.3473373658523812,False,0.9405316006852138,20.98
SOL/USDT:USDT,2023-07-07 20:00:00+00:00,2023-07-08 00:00:00+00:00,2023-07-11 08:00:00+00:00,1,21.485,22.033,19.622545225478966,25.206909549042074,TIMEOUT,21,0.2780851417630773,False,0.9307273872605187,20.98
SOL/USDT:USDT,2023-07-08 00:00:00+00:00,2023-07-08 04:00:00+00:00,2023-07-11 12:00:00+00:00,1,21.682,22.138,19.90960586208177,25.223788275836466,TIMEOUT,21,0.2401526787376682,False,0.8856970689591163,20.98
SOL/USDT:USDT,2023-07-08 04:00:00+00:00,2023-07-08 08:00:00+00:00,2023-07-11 16:00:00+00:00,1,21.972,21.963,20.190725080470866,25.53154983905827,TIMEOUT,21,-0.022321540355214102,False,0.8901374597645675,20.98
SOL/USDT:USDT,2023-07-13 12:00:00+00:00,2023-07-13 16:00:00+00:00,2023-07-14 00:00:00+00:00,1,24.094,28.053886712445305,22.11405664377735,28.053886712445305,TP,21,1.9829633509999227,False,0.9899716781113257,23.059
SOL/USDT:USDT,2023-07-13 16:00:00+00:00,2023-07-13 20:00:00+00:00,2023-07-14 00:00:00+00:00,1,26.213,31.13603515078593,23.752982424607033,31.13603515078593,TP,21,1.9863016425829298,False,1.2305087876964824,23.059
SOL/USDT:USDT,2023-07-13 20:00:00+00:00,2023-07-14 00:00:00+00:00,2023-07-14 00:00:00+00:00,1,26.018,30.74723046401448,23.653384767992762,30.74723046401448,TP,21,1.9845957179388207,False,1.1823076160036186,23.059
SOL/USDT:USDT,2023-07-19 16:00:00+00:00,2023-07-19 20:00:00+00:00,2023-07-22 20:00:00+00:00,1,26.757,24.935745695510217,24.935745695510217,30.396508608979566,SL,21,-1.020568132581844,False,0.9101271522448923,26.589
SOL/USDT:USDT,2023-07-26 08:00:00+00:00,2023-07-26 12:00:00+00:00,2023-07-29 20:00:00+00:00,1,23.811,25.159,22.80272070249056,25.830558595018882,TIMEOUT,21,1.303869476689014,False,0.5046396487547211,23.58
SOL/USDT:USDT,2023-07-26 12:00:00+00:00,2023-07-26 16:00:00+00:00,2023-07-30 00:00:00+00:00,1,24.893,25.022,23.70122460882515,27.2765507823497,TIMEOUT,21,0.07899961745911285,False,0.5958876955874249,23.58
SOL/USDT:USDT,2023-08-06 04:00:00+00:00,2023-08-06 08:00:00+00:00,2023-08-08 16:00:00+00:00,1,23.006,24.55176541512001,22.233117292439996,24.55176541512001,TP,21,1.9583269237557634,False,0.3864413537800019,22.934
SOL/USDT:USDT,2023-08-08 12:00:00+00:00,2023-08-08 16:00:00+00:00,2023-08-12 00:00:00+00:00,1,23.72,24.465,22.892184695003735,25.372630609992534,TIMEOUT,21,0.8598439720841033,False,0.4134076524981334,23.671
SOL/USDT:USDT,2023-08-21 00:00:00+00:00,2023-08-21 04:00:00+00:00,2023-08-22 20:00:00+00:00,-1,21.392,19.79125531926779,22.190872340366102,19.79125531926779,TP,21,1.9662664500467666,False,0.39993617018305117,21.55
SOL/USDT:USDT,2023-08-21 04:00:00+00:00,2023-08-21 08:00:00+00:00,2023-08-22 20:00:00+00:00,-1,21.332,19.719354610032084,22.139822694983955,19.719354610032084,TP,21,1.9593168151822653,False,0.40341134749197793,21.55
SOL/USDT:USDT,2023-08-21 08:00:00+00:00,2023-08-21 12:00:00+00:00,2023-08-22 20:00:00+00:00,-1,21.224,19.587573995361147,22.04371300231943,19.587573995361147,TP,21,1.9600913979558232,False,0.4093565011597143,21.55
SOL/USDT:USDT,2023-08-22 16:00:00+00:00,2023-08-22 20:00:00+00:00,2023-08-23 12:00:00+00:00,-1,20.048,20.992557870426523,20.992557870426523,18.158884259146948,SL,21,-1.0297146430925677,False,0.4722789352132628,20.2
SOL/USDT:USDT,2023-08-31 12:00:00+00:00,2023-08-31 16:00:00+00:00,2023-09-04 00:00:00+00:00,-1,20.318,19.735,21.207630772337996,18.541738455324005,TIMEOUT,21,0.6233538870767744,False,0.4443153861689986,20.578
SOL/USDT:USDT,2023-09-10 00:00:00+00:00,2023-09-10 04:00:00+00:00,2023-09-10 04:00:00+00:00,-1,19.192,18.31253751556713,19.631731242216436,18.31253751556713,TP,21,1.9388972230752366,False,0.21986562110821803,19.341
SOL/USDT:USDT,2023-09-10 04:00:00+00:00,2023-09-10 08:00:00+00:00,2023-09-13 16:00:00+00:00,-1,18.515,18.337,19.277367076587577,16.99326584682484,TIMEOUT,21,0.19948264382129416,False,0.3806835382937892,19.341
SOL/USDT:USDT,2023-09-10 08:00:00+00:00,2023-09-10 12:00:00+00:00,2023-09-13 20:00:00+00:00,-1,18.317,18.389,19.05811813304257,16.837763733914866,TIMEOUT,21,-0.13175200504018786,False,0.3700590665212838,19.341
SOL/USDT:USDT,2023-09-21 08:00:00+00:00,2023-09-21 12:00:00+00:00,2023-09-24 20:00:00+00:00,-1,19.588,19.351,20.435402109932607,17.89319578013479,TIMEOUT,21,0.24731682579439124,False,0.42370105496630317,19.848
SOL/USDT:USDT,2023-10-07 00:00:00+00:00,2023-10-07 04:00:00+00:00,2023-10-09 08:00:00+00:00,1,23.663,22.475627477224542,22.475627477224542,26.037745045550917,SL,21,-1.0279004266685938,False,0.5936862613877295,23.593
SOL/USDT:USDT,2023-10-16 04:00:00+00:00,2023-10-16 08:00:00+00:00,2023-10-16 12:00:00+00:00,1,22.809,24.192735393431036,22.11563230328448,24.192735393431036,TP,21,1.9496189393225567,False,0.3461838483577595,22.171
SOL/USDT:USDT,2023-10-16 08:00:00+00:00,2023-10-16 12:00:00+00:00,2023-10-16 12:00:00+00:00,1,23.132,24.61643734097357,22.388281329513216,24.61643734097357,TP,21,1.9524217941485276,False,0.3713593352433916,22.171
SOL/USDT:USDT,2023-10-19 12:00:00+00:00,2023-10-19 16:00:00+00:00,2023-10-20 08:00:00+00:00,1,24.748,26.86321408077269,23.691892959613654,26.86321408077269,TP,21,1.9700340980698041,False,0.5285535201931723,24.433
SOL/USDT:USDT,2023-10-20 04:00:00+00:00,2023-10-20 08:00:00+00:00,2023-10-21 08:00:00+00:00,1,26.22,29.037189537994045,24.811405231002976,29.037189537994045,TP,21,1.9739399855743198,False,0.7042973844985123,25.963
SOL/USDT:USDT,2023-10-21 04:00:00+00:00,2023-10-21 08:00:00+00:00,2023-10-23 20:00:00+00:00,1,28.049,31.626607486919774,26.260196256540112,31.626607486919774,TP,21,1.9780475638294186,False,0.8944018717299427,27.52
SOL/USDT:USDT,2023-10-23 00:00:00+00:00,2023-10-23 04:00:00+00:00,2023-10-26 12:00:00+00:00,1,30.648,31.297,28.38144392383158,35.18111215233684,TIMEOUT,21,0.26740692911714403,False,1.1332780380842098,30.368
SOL/USDT:USDT,2023-10-29 12:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-31 00:00:00+00:00,1,32.616,35.55733434979005,31.145332825104976,35.55733434979005,TP,21,1.9689512346644582,False,0.7353335874475114,32.532
SOL/USDT:USDT,2023-10-31 00:00:00+00:00,2023-10-31 04:00:00+00:00,2023-11-01 12:00:00+00:00,1,35.797,39.8089612256658,33.7910193871671,39.8089612256658,TP,21,1.9750168074011318,False,1.0029903064164503,35.409
SOL/USDT:USDT,2023-10-31 04:00:00+00:00,2023-10-31 08:00:00+00:00,2023-11-01 08:00:00+00:00,1,35.711,39.76089972891037,33.68455013554482,39.76089972891037,TP,21,1.9738481563597723,False,1.0127249322275904,35.409
