symbol,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,reason,bars_held,r,swept,atr,level
SUI/USDT:USDT,2025-09-03 08:00:00+00:00,2025-09-03 12:00:00+00:00,2025-09-06 20:00:00+00:00,1,3.3457,3.3342,3.1995305934072378,3.638038813185524,TIMEOUT,21,-0.11072070672825203,False,0.07308470329638113,3.3381
SUI/USDT:USDT,2025-09-03 12:00:00+00:00,2025-09-03 16:00:00+00:00,2025-09-04 16:00:00+00:00,1,3.3849,3.2418331809529395,3.2418331809529395,3.670433638094121,SL,21,-1.03312340367644,False,0.07143340952353035,3.3381
SUI/USDT:USDT,2025-09-03 16:00:00+00:00,2025-09-03 20:00:00+00:00,2025-09-04 12:00:00+00:00,1,3.3964,3.258322090159214,3.258322090159214,3.672255819681572,SL,21,-1.0344367901098939,False,0.06898895492039293,3.3381
SUI/USDT:USDT,2025-09-08 08:00:00+00:00,2025-09-08 12:00:00+00:00,2025-09-11 20:00:00+00:00,1,3.473,3.665,3.3680023693309082,3.682695261338184,TIMEOUT,21,1.7823049797169217,False,0.05244881533454597,3.4215
SUI/USDT:USDT,2025-09-11 00:00:00+00:00,2025-09-11 04:00:00+00:00,2025-09-14 12:00:00+00:00,1,3.6334,3.6651,3.4884818061469995,3.9229363877060015,TIMEOUT,21,0.18364319408365876,False,0.07240909692650031,3.6261
SUI/USDT:USDT,2025-09-11 20:00:00+00:00,2025-09-12 00:00:00+00:00,2025-09-15 08:00:00+00:00,1,3.6651,3.533092765168379,3.533092765168379,3.9288144696632425,SL,21,-1.0388701422807993,False,0.06595361741581056,3.6261
SUI/USDT:USDT,2025-09-12 16:00:00+00:00,2025-09-12 20:00:00+00:00,2025-09-15 08:00:00+00:00,1,3.706,3.5698421826602966,3.5698421826602966,3.9783156346794066,SL,21,-1.038105781227789,False,0.06807890866985167,3.7
SUI/USDT:USDT,2025-09-12 20:00:00+00:00,2025-09-13 00:00:00+00:00,2025-09-15 04:00:00+00:00,1,3.719,3.5858498916389236,3.5858498916389236,3.9853002167221523,SL,21,-1.0391032351688423,False,0.0665750541805381,3.7
SUI/USDT:USDT,2025-09-13 00:00:00+00:00,2025-09-13 04:00:00+00:00,2025-09-15 04:00:00+00:00,1,3.7373,3.607556572753734,3.607556572753734,3.9967868544925316,SL,21,-1.0403274378598673,False,0.064871713623133,3.7
SUI/USDT:USDT,2025-09-13 04:00:00+00:00,2025-09-13 08:00:00+00:00,2025-09-15 04:00:00+00:00,1,3.7294,3.6066956963865695,3.6066956963865695,3.9745086072268605,SL,21,-1.0425507488021677,False,0.06130215180671527,3.7
SUI/USDT:USDT,2025-09-13 08:00:00+00:00,2025-09-13 12:00:00+00:00,2025-09-14 12:00:00+00:00,1,3.832,3.697509603535027,3.697509603535027,4.100680792929946,SL,21,-1.0398898370516532,False,0.06719519823248658,3.7
SUI/USDT:USDT,2025-09-17 16:00:00+00:00,2025-09-17 20:00:00+00:00,2025-09-18 16:00:00+00:00,1,3.6735,3.9740432139424224,3.5233783930287887,3.9740432139424224,TP,21,1.9677401534815075,False,0.07511080348560552,3.6532
SUI/USDT:USDT,2025-09-17 20:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-21 08:00:00+00:00,1,3.7706,3.5927879406249508,3.5927879406249508,4.125924118750099,SL,21,-1.029687750192835,False,0.08885602968752478,3.6532
SUI/USDT:USDT,2025-09-18 00:00:00+00:00,2025-09-18 04:00:00+00:00,2025-09-19 12:00:00+00:00,1,3.8189,3.647709548541624,3.647709548541624,4.161280902916753,SL,21,-1.0312310643172755,False,0.08559522572918814,3.6532
SUI/USDT:USDT,2025-09-18 04:00:00+00:00,2025-09-18 08:00:00+00:00,2025-09-19 20:00:00+00:00,1,3.7898,3.6209482754027404,3.6209482754027404,4.127803449194518,SL,21,-1.0314223619134186,False,0.08447586229862972,3.6532
