symbol,price,chg_24h_pct,qvol_24h
BTC/USDT:USDT,79390.4,-0.538,6601146772.29
ETH/USDT:USDT,2490.4,-0.128,6466094609.29
ZEC/USDT:USDT,1182.81,0.95,3427718391.83
SOL/USDT:USDT,104.72,-0.447,1989858602.743
XAU/USDT:USDT,4415.01,-0.409,888123898.37
XRP/USDT:USDT,1.4027,-0.897,858103414.0182
HYPE/USDT:USDT,86.812,0.267,789834697.86341
SKHYNIX/USDT:USDT,1322.0,2.645,645517755.0372
DOGE/USDT:USDT,0.08946,-1.324,630977840.59315
ARB/USDT:USDT,0.16277,-17.464,592298981.236189
SNDK/USDT:USDT,1788.08,0.296,482363436.2832
BNB/USDT:USDT,745.3,-1.599,476245687.668
RAYSOL/USDT:USDT,1.2176,10.57,470247169.89086
NEAR/USDT:USDT,2.345,1.912,410511863.606
CL/USDT:USDT,91.38,-0.577,353028941.1079
TAO/USDT:USDT,267.69,14.212,342105409.53
SUI/USDT:USDT,0.8108,2.219,336457719.26066
UNI/USDT:USDT,7.051,2.203,324821015.773
LINK/USDT:USDT,13.351,9.542,323565566.376
SOXL/USDT:USDT,127.61,6.608,310262145.9238
