signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1610225999999,1610226000000,1276.97,0.0391551876708145,50.0,0.0375,1,1610323200000,1257.95,0.03694145124787583,-0.819173120746774
1610243999999,1610244000000,1327.77,0.037657124351356035,50.0,0.0375,2,1610323200000,1257.95,0.035528084683341246,-2.702248506895016
1610621999999,1610622000000,1171.37,0.042685061082322416,50.0,0.0375,1,1610726400000,1143.47,0.036606815096852416,-1.2650200192936354
1610632799999,1610632800000,1194.12,0.041871838676179954,50.0,0.0375,2,1610726400000,1143.47,0.03590939352828862,-2.1942180224767953
1610812799999,1610812800000,1282.46,0.038987570762440936,50.0,0.0375,1,1610870400000,1182.67,0.03458207273521202,-3.9626517591191885
1610920799999,1610920800000,1264.0,0.03955696202531646,50.0,0.0375,1,1610938800000,1223.15,0.03628807357594937,-1.6896899723101186
1611014399999,1611014400000,1263.0,0.0395882818685669,50.0,0.0375,1,1611115200000,1345.66,0.03995427553444181,3.194913103721299
1611021599999,1611021600000,1323.51,0.03777833185997839,50.0,0.0375,2,1611115200000,1345.66,0.03812759253802389,0.7611624581605
1611043199999,1611043200000,1382.61,0.03616348789608061,50.0,0.0375,3,1611115200000,1345.66,0.03649781934167987,-1.410238697101852
1611460799999,1611460800000,1294.62,0.038621371522145495,50.0,0.0375,1,1611612000000,1348.0,0.03904620660888909,1.9850626052432374
1611478799999,1611478800000,1327.21,0.0376730133136429,50.0,0.0375,2,1611612000000,1348.0,0.03808741646009298,0.7076345303305388
1611532799999,1611532800000,1394.23,0.03586208875149724,50.0,0.0375,3,1611612000000,1348.0,0.03625657172776371,-1.7316609347094798
1611842399999,1611842400000,1344.11,0.03719933636383927,50.0,0.0375,1,1611878400000,1330.28,0.03711414988356608,-0.5890809717954596
1611910799999,1611910800000,1381.79,0.036184948508818274,50.0,0.0375,1,1611979200000,1344.16,0.03647877029070988,-1.4356183826775308
1611921599999,1611921600000,1421.87,0.03516495882183322,50.0,0.0375,2,1611979200000,1344.16,0.03545049828746651,-2.805619448332122
1612216799999,1612216800000,1352.28,0.03697459106102287,50.0,0.0375,1,1612454400000,1582.92,0.043895864761735744,8.446423817552587
1612252799999,1612252800000,1417.11,0.03528307611970842,50.0,0.0375,2,1612454400000,1582.92,0.041887715138556644,5.770899136270296
1612285199999,1612285200000,1498.45,0.033367813407187426,50.0,0.0375,3,1612454400000,1582.92,0.03961393439887884,2.7414652641062403
1612533599999,1612533600000,1723.5,0.02901073397156948,50.0,0.0375,1,1612591200000,1663.26,0.036189295039164494,-1.821295909486507
1612785599999,1612785600000,1664.11,0.030046090703138618,50.0,0.0375,1,1612962000000,1746.37,0.03935369356593014,2.3947377276742556
1612796399999,1612796400000,1715.43,0.029147210903388655,50.0,0.0375,2,1612962000000,1746.37,0.03817636102901313,0.8261383443218279
1612861199999,1612861200000,1809.0,0.027639579878385848,50.0,0.0375,3,1612962000000,1746.37,0.036201699834162514,-1.8047685876174797
1613037599999,1613037600000,1768.61,0.028270788924635734,50.0,0.0375,1,1613077200000,1763.63,0.03739440860336649,-0.21568293744804948
1613149199999,1613149200000,1832.34,0.027287512142942904,50.0,0.0375,1,1613214000000,1800.0,0.03683814139297292,-0.9568162840957427
1613159999999,1613160000000,1845.38,0.02709469052444483,50.0,0.0375,2,1613214000000,1800.0,0.03657783220800052,-1.3036348882073114
1613282399999,1613282400000,1845.6,0.027091460771564803,50.0,0.0375,1,1613311200000,1813.1,0.03683964564369311,-0.9548121207195507
1613555999999,1613556000000,1816.13,0.027531068811153386,50.0,0.0375,1,1613862000000,1895.1,0.03913059637801258,2.0974979076387625
1613566799999,1613566800000,1832.81,0.027280514619627785,50.0,0.0375,2,1613862000000,1895.1,0.038774477441742464,1.623028778214875
1613609999999,1613610000000,1876.53,0.026644924408349455,50.0,0.0375,3,1613862000000,1895.1,0.03787109718469729,0.4194251490783515
1614761999999,1614762000000,1592.72,0.031392837410216486,50.0,0.0375,1,1614830400000,1556.48,0.03664674267919032,-1.2118231704254314
1615010399999,1615010400000,1576.75,0.031710797526557796,50.0,0.0375,1,1615039200000,1529.44,0.03637482162676392,-1.5741126526082057
