signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1612367999999,1612368000000,5.6215,8.894423196655696,50.0,0.0375,1,1613304000000,8.5956,0.05733967802188027,26.358064351151818
1612411199999,1612411200000,5.9331,8.427297702718647,50.0,0.0375,2,1613304000000,8.5956,0.0543282601001163,22.345851873388277
1612483199999,1612483200000,6.436,7.768800497203232,50.0,0.0375,3,1613304000000,8.5956,0.05008312616532007,16.68991842759477
1613663999999,1613664000000,9.2461,5.407685402494025,50.0,0.0375,1,1613707200000,8.7026,0.035295692237808374,-3.011872708493313
1613721599999,1613721600000,9.5209,5.251604365133549,50.0,0.0375,1,1614470400000,13.1862,0.05193652910964299,19.15926895041435
1614023999999,1614024000000,13.2866,3.763189980882995,50.0,0.0375,2,1614470400000,13.1862,0.037216631794439514,-0.4525409058750881
1614095999999,1614096000000,15.4092,3.2448147859720167,50.0,0.0375,3,1614470400000,13.1862,0.03209008254808816,-7.282813351763883
1614614399999,1614614400000,15.468,3.2324799586242565,50.0,0.0375,1,1614715200000,13.7109,0.03324015709852599,-5.750530692397204
1615161599999,1615161600000,13.8493,3.610290772818843,50.0,0.0375,1,1615190400000,13.327,0.03608575884701754,-1.9592406294902944
1615305599999,1615305600000,14.6873,3.4043016755972846,50.0,0.0375,1,1615449600000,13.9111,0.035518185779551036,-2.71543714637817
1615492799999,1615492800000,15.7555,3.1734949700104726,50.0,0.0375,1,1615795200000,13.9302,0.03315556472342992,-5.863235933483542
1616241599999,1616241600000,14.8243,3.3728405388450047,50.0,0.0375,1,1616284800000,14.1859,0.035885083950001014,-2.226606483948649
1616385599999,1616385600000,15.1353,3.3035354436317745,50.0,0.0375,1,1616529600000,14.3466,0.03554587619670571,-2.6785442805890924
1616831999999,1616832000000,16.0504,3.1151871604445995,50.0,0.0375,1,1618387200000,26.3891,0.06165523912176644,32.10783025656682
1616860799999,1616860800000,15.9898,3.126993458329685,50.0,0.0375,2,1618387200000,26.3891,0.06188890730340592,32.41915416390447
1616889599999,1616889600000,16.4774,3.034459320038356,50.0,0.0375,3,1618387200000,26.3891,0.06005748783181813,29.979092954592353
1618775999999,1618776000000,30.2615,1.6522644283991208,50.0,0.0375,1,1620100800000,45.0242,0.05579391305784578,24.298590164069857
1618833599999,1618833600000,33.8534,1.4769565243077505,50.0,0.0375,2,1620100800000,45.0242,0.04987408945630277,16.41141185228073
1618862399999,1618862400000,34.4589,1.451003949632751,50.0,0.0375,3,1620100800000,45.0242,0.048997719021791175,15.243794310033119
1620835199999,1620835200000,47.472,1.053252443545669,50.0,0.0375,1,1620864000000,43.564,0.03441291708796764,-4.188023466464449
1621137599999,1621137600000,47.643,1.0494721155258904,50.0,0.0375,1,1621195200000,43.694,0.034391725961841195,-4.216257110173585
1621166399999,1621166400000,47.229,1.0586715789027927,50.0,0.0375,2,1621195200000,43.694,0.03469319697643397,-3.814597228397807
1621238399999,1621238400000,50.675,0.9866798223976321,50.0,0.0375,1,1621425600000,43.974,0.0325411938825851,-6.68178268376912
1621339199999,1621339200000,54.533,0.9168760200245722,50.0,0.0375,2,1621425600000,43.974,0.030239029578420406,-9.749032925017877
1622995199999,1622995200000,42.785,1.168633867009466,50.0,0.0375,1,1623110400000,38.248,0.03352343110903354,-5.3731152857309805
1623686399999,1623686400000,39.848,1.2547681188516362,50.0,0.0375,1,1623700800000,39.044,0.03674337482433246,-1.0830769423810538
1623729599999,1623729600000,40.512,1.2342022116903633,50.0,0.0375,1,1623844800000,38.092,0.03525992298578198,-3.0595292752764665
1625659199999,1625659200000,36.938,1.353619578753587,50.0,0.0375,1,1625731200000,34.18,0.0347000379013482,-3.805482836103741
1625687999999,1625688000000,37.554,1.3314160941577462,50.0,0.0375,2,1625731200000,34.18,0.03413085157373382,-4.563828753261971
1627588799999,1627588800000,31.341,1.5953543281962923,50.0,0.0375,1,1629820800000,72.073,0.08623647937206852,64.8582360167193
1627732799999,1627732800000,34.638,1.4435013568912756,50.0,0.0375,2,1629820800000,72.073,0.07802810497141868,53.921945190253474
1627775999999,1627776000000,36.747,1.360655291588429,50.0,0.0375,3,1629820800000,72.073,0.07354988162298962,47.955458949029826
1630036799999,1630036800000,81.417,0.6141223577385558,50.0,0.0375,1,1631505600000,155.158,0.07146449758649913,45.17703228441233
1630094399999,1630094400000,85.567,0.5843374197996892,50.0,0.0375,2,1631505600000,155.158,0.06799846903596013,40.55912691224422
1630151999999,1630152000000,92.355,0.5413892046992582,50.0,0.0375,3,1631505600000,155.158,0.06300064966704562,33.90036557306045
1632009599999,1632009600000,169.248,0.2954244658725657,50.0,0.0375,1,1632038400000,161.726,0.03583336287577992,-2.295516195169219
1633190399999,1633190400000,170.422,0.293389351140111,50.0,0.0375,1,1633492800000,158.131,0.034795463613852676,-3.6783439784769585
1634284799999,1634284800000,161.646,0.3093178921841555,50.0,0.0375,1,1634558400000,157.104,0.03644630860027468,-1.4788681749007027
1634745599999,1634745600000,168.988,0.29587899732525386,50.0,0.0375,1,1635336000000,190.032,0.042169858214784486,6.146807761497863
