signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1612929599999,1612929600000,20.7848,2.405604095300412,50.0,0.0375,1,1613361600000,19.0966,0.03445414437473538,-4.133094978060894
1613116799999,1613116800000,23.0771,2.1666500556829065,50.0,0.0375,2,1613361600000,19.0966,0.03103173709001564,-8.692882283735832
1613807999999,1613808000000,23.3358,2.142630636189889,50.0,0.0375,1,1614067200000,23.2003,0.03728225516159721,-0.365108706365325
1614643199999,1614643200000,25.7716,1.9401201322385884,50.0,0.0375,1,1615449600000,30.243,0.044006289869468716,8.59354686942215
1614844799999,1614844800000,28.2632,1.7690848877692547,50.0,0.0375,2,1615449600000,30.243,0.040126825695604176,3.424807435109963
1614873599999,1614873600000,29.2055,1.7120063001831847,50.0,0.0375,3,1615449600000,30.243,0.03883215490233004,1.6998743815377195
1615636799999,1615636800000,32.8214,1.5233963206932064,50.0,0.0375,1,1615737600000,31.4935,0.03598281151931362,-2.0964007857678113
1615694399999,1615694400000,33.441,1.4951705989653419,50.0,0.0375,2,1615737600000,31.4935,0.03531611644388625,-2.9846608579288927
1616183999999,1616184000000,33.6692,1.4850367695104132,50.0,0.0375,1,1616544000000,31.0137,0.034542363643923824,-4.015557505078823
1617422399999,1617422400000,31.2594,1.5995188647254905,50.0,0.0375,1,1617494400000,29.4298,0.03530514021382368,-2.9992848551155817
1618214399999,1618214400000,31.565,1.584032947885316,50.0,0.0375,1,1618718400000,29.7321,0.03532246950736575,-2.976196459686362
1619020799999,1619020800000,35.5614,1.4060188856456721,50.0,0.0375,1,1619049600000,33.4695,0.035294061819838365,-3.0140449687020223
1619063999999,1619064000000,36.0298,1.3877401484326861,50.0,0.0375,1,1619136000000,33.915,0.03529890535057091,-3.0075917712560227
1619481599999,1619481600000,38.1934,1.3091267077557904,50.0,0.0375,1,1620144000000,40.671,0.039932619248351814,3.1660597118874008
1619971199999,1619971200000,43.0754,1.1607553267061943,50.0,0.0375,2,1620144000000,40.671,0.035406809919350725,-2.8638269174517235
1620014399999,1620014400000,44.5088,1.1233733553814078,50.0,0.0375,3,1620144000000,40.671,0.03426653830253793,-4.383048801585302
1620806399999,1620806400000,42.923,1.16487663956387,50.0,0.0375,1,1620864000000,37.033,0.032354157444726604,-6.930977564475922
1625558399999,1625558400000,22.464,2.225783475783476,50.0,0.0375,1,1625731200000,20.507,0.03423310630341881,-4.427591368411674
1627084799999,1627084800000,18.594,2.689039475099494,50.0,0.0375,1,1627113600000,18.563,0.03743747983220393,-0.1582977035602994
1627271999999,1627272000000,19.5,2.5641025641025643,50.0,0.0375,1,1627344000000,18.506,0.03558846153846154,-2.621806410256403
1627617599999,1627617600000,20.55,2.4330900243309004,50.0,0.0375,1,1629158400000,29.08,0.05306569343065694,20.663692214111926
1627675199999,1627675200000,20.421,2.448459918711131,50.0,0.0375,2,1629158400000,29.08,0.05340091082708977,21.11031352529259
1627790399999,1627790400000,22.422,2.2299527250022297,50.0,0.0375,3,1629158400000,29.08,0.04863526893229863,14.760889974132533
1629532799999,1629532800000,29.412,1.6999864001087992,50.0,0.0375,1,1629576000000,28.344,0.03613831089351286,-1.8892237862097034
1630411199999,1630411200000,28.8,1.7361111111111112,50.0,0.0375,1,1630972800000,28.874,0.037596354166666665,0.05337586805555503
1630483199999,1630483200000,30.326,1.648750247312537,50.0,0.0375,2,1630972800000,28.874,0.035704510980676646,-2.467189870078484
1630540799999,1630540800000,31.386,1.5930669725355255,50.0,0.0375,3,1630972800000,28.874,0.034498661823743074,-4.073782896832979
1631750399999,1631750400000,27.48,1.8195050946142648,50.0,0.0375,1,1631764800000,26.782,0.036547489082969425,-1.3440620451237337
1633075199999,1633075200000,24.955,2.003606491685033,50.0,0.0375,1,1633521600000,24.031,0.036111500701262275,-1.92494389901823
1633132799999,1633132800000,25.627,1.951067233776876,50.0,0.0375,2,1633521600000,24.031,0.03516457252116908,-3.186567877629065
1633190399999,1633190400000,26.664,1.8751875187518752,50.0,0.0375,3,1633521600000,24.031,0.03379697344734474,-5.008665710321031
1634241599999,1634241600000,26.244,1.9051973784484073,50.0,0.0375,1,1634558400000,25.255,0.0360868198445359,-1.9578270271300071
1634385599999,1634385600000,27.339,1.8288891327407732,50.0,0.0375,2,1634558400000,25.255,0.03464144628552617,-3.8835463989173022
1634759999999,1634760000000,27.055,1.8480872297172426,50.0,0.0375,1,1634918400000,25.688,0.035605248567732395,-2.5994404915912086
1635249599999,1635249600000,27.746,1.8020615584228359,50.0,0.0375,1,1635336000000,24.669,0.033341292438549705,-5.615784707705613
1635796799999,1635796800000,26.052,1.919238446184554,50.0,0.0375,1,1635811200000,25.622,0.03688104560110548,-0.899653577460468
1635911999999,1635912000000,26.752,1.869019138755981,50.0,0.0375,1,1635955200000,25.749,0.036094030352870815,-1.9482202265251218
1636415999999,1636416000000,26.287,1.902080876478868,50.0,0.0375,1,1636588800000,25.265,0.03604205500817895,-2.0174687107695832
1636473599999,1636473600000,27.641,1.8089070583553417,50.0,0.0375,2,1636588800000,25.265,0.034276527622010784,-4.3697396982743
1636559999999,1636560000000,27.974,1.7873739901336956,50.0,0.0375,3,1636588800000,25.265,0.03386850289554586,-4.913364642167727
1640563199999,1640563200000,18.663,2.679097679901409,50.0,0.0375,1,1640822400000,17.125,0.03440966082623372,-4.192361892514603
1641211199999,1641211200000,18.933,2.6408915649923412,50.0,0.0375,1,1641268800000,18.02,0.035691649500871496,-2.48432564833888
1641398399999,1641398400000,19.667,2.542329791020491,50.0,0.0375,1,1641427200000,17.096,0.03259775258046473,-6.606427645294152
1646092799999,1646092800000,10.521,4.7523999619807995,50.0,0.0375,1,1646107200000,10.403,0.03707941260336469,-0.6353626081171043
1647619199999,1647619200000,9.589,5.214308061320263,50.0,0.0375,1,1647792000000,9.275,0.03627203045155908,-1.7110647617061177
1648137599999,1648137600000,10.512,4.756468797564688,50.0,0.0375,1,1649088000000,11.232,0.040068493150684927,3.347089041095886
