signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1663891199999,1663891200000,0.4861,102.85949393128986,50.0,0.0375,1,1664236800000,0.4682,0.03611911129397243,-1.9148040526640586
1667606399999,1667606400000,0.5063,98.75567845151097,50.0,0.0375,1,1667865600000,0.4647,0.034418822832312866,-4.180155046415164
1674259199999,1674259200000,0.4129,121.09469605231291,50.0,0.0375,1,1674432000000,0.4004,0.036364737224509565,-1.5875484378784237
1679443199999,1679443200000,0.4696,106.47359454855196,50.0,0.0375,1,1682035200000,0.4752,0.03794718909710392,0.5208049403747893
1679961599999,1679961600000,0.4789,104.40593025683859,50.0,0.0375,2,1682035200000,0.4752,0.03721027354353727,-0.46101221549383664
1685404799999,1685404800000,0.4946,101.09179134654266,50.0,0.0375,1,1686960000000,0.4758,0.03607460574201375,-1.9741002830570182
1685750399999,1685750400000,0.5245,95.32888465204958,50.0,0.0375,2,1686960000000,0.4758,0.034018112488083896,-4.71403479504289
1685923199999,1685923200000,0.5359,93.30098899048329,50.0,0.0375,3,1686960000000,0.4758,0.03329445792125396,-5.678183896249299
1689292799999,1689292800000,0.8151,61.34216660532449,50.0,0.0375,1,1691193600000,0.6356,0.029241810820758187,-11.077660716476506
1698796799999,1698796800000,0.5995,83.40283569641367,50.0,0.0375,1,1702339200000,0.6187,0.03870100083402836,1.5251334445371127
1699228799999,1699228800000,0.6606,75.68876778686044,50.0,0.0375,2,1702339200000,0.6187,0.03512148047229792,-3.243980850741741
1701907199999,1701907200000,0.64,78.125,50.0,0.0375,3,1702339200000,0.6187,0.036251953125,-1.737814453125003
1709078399999,1709078400000,0.5862,85.29512111907198,50.0,0.0375,1,1709164800000,0.5749,0.036777123848515864,-1.0381119924940365
1709423999999,1709424000000,0.6442,77.6156473144986,50.0,0.0375,1,1710892800000,0.5845,0.034024759391493326,-4.7051789040670595
1710201599999,1710201600000,0.723,69.15629322268326,50.0,0.0375,2,1710892800000,0.5845,0.03031639004149378,-9.645963001383121
1727654399999,1727654400000,0.6412,77.97878976918278,50.0,0.0375,1,1727913600000,0.5383,0.031481986899563316,-8.092999454148474
1731283199999,1731283200000,0.5885,84.96176720475786,50.0,0.0375,1,1738540800000,2.5801,0.1644073916737468,169.007948173322
1732233599999,1732233600000,1.2471,40.093015796648224,50.0,0.0375,2,1738540800000,2.5801,0.07758299254269906,53.32890706438938
1732924799999,1732924800000,1.8005,27.770063871146903,50.0,0.0375,3,1738540800000,2.5801,0.053737156345459586,21.55830463760065
1740959999999,1740960000000,2.9395,17.009695526450077,50.0,0.0375,1,1741046400000,2.3873,0.030455434597720703,-9.460709304303448
1746921599999,1746921600000,2.4711,20.233903929424145,50.0,0.0375,1,1747008000000,2.3671,0.035921755493504924,-2.1777477641536067
1747094399999,1747094400000,2.544,19.654088050314463,50.0,0.0375,1,1747353600000,2.3856,0.035165094339622636,-3.1858726415094396
1752105599999,1752105600000,2.4038,20.80039936766786,50.0,0.0375,1,1755648000000,2.8608,0.044629336883268166,9.423653174140947
