signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1640289599999,1640289600000,1.464,34.15300546448088,50.0,0.0375,1,1640376000000,1.409,0.036091188524590166,-1.9520064890710302
1640591999999,1640592000000,1.499,33.355570380253496,50.0,0.0375,1,1640736000000,1.4,0.03502334889926617,-3.374724816544371
1642319999999,1642320000000,1.368,36.549707602339176,50.0,0.0375,1,1642636800000,1.336,0.036622807017543856,-1.2437134502924025
1642377599999,1642377600000,1.411,35.43586109142452,50.0,0.0375,2,1642636800000,1.336,0.035506732813607375,-2.730696314670445
1642449599999,1642449600000,1.558,32.09242618741977,50.0,0.0375,3,1642636800000,1.336,0.032156611039794614,-7.1941752246469814
1644249599999,1644249600000,1.204,41.52823920265781,50.0,0.0375,1,1644336000000,1.166,0.03631644518272425,-1.6518895348837277
1644292799999,1644292800000,1.241,40.290088638195,50.0,0.0375,2,1644336000000,1.166,0.03523368251410153,-3.0944903303787314
1647705599999,1647705600000,0.895,55.865921787709496,50.0,0.0375,1,1647792000000,0.875,0.03666201117318436,-1.1914804469273776
1647921599999,1647921600000,0.928,53.87931034482758,50.0,0.0375,1,1648756800000,1.147,0.04634967672413793,11.715719288793098
1647993599999,1647993600000,0.975,51.282051282051285,50.0,0.0375,2,1648756800000,1.147,0.04411538461538462,8.738897435897437
1648051199999,1648051200000,1.071,46.68534080298787,50.0,0.0375,3,1648756800000,1.147,0.04016106442577032,3.470424836601319
1649059199999,1649059200000,1.215,41.15226337448559,50.0,0.0375,1,1649203200000,1.17,0.03611111111111111,-1.9254629629629734
1654487999999,1654488000000,0.6183,80.86689309396733,50.0,0.0375,1,1654876800000,0.5875,0.03563197476952936,-2.56383228206372
1658131199999,1658131200000,0.4746,105.35187526337968,50.0,0.0375,1,1658577600000,0.4763,0.03763432364096081,0.10396386430678603
1658289599999,1658289600000,0.5259,95.07510933637573,50.0,0.0375,2,1658577600000,0.4763,0.03396320593268682,-4.7871886290169225
1658620799999,1658620800000,0.5171,96.69309611293754,50.0,0.0375,1,1658750400000,0.4919,0.03567250048346548,-2.5098385225294906
1658663999999,1658664000000,0.5263,95.00285008550257,50.0,0.0375,2,1658750400000,0.4919,0.03504892646779404,-3.3406469694090775
1659067199999,1659067200000,0.5296,94.41087613293053,50.0,0.0375,1,1659412800000,0.4911,0.034773885951661636,-3.7070926170694762
1659931199999,1659931200000,0.5328,93.84384384384383,50.0,0.0375,1,1660060800000,0.5103,0.03591638513513513,-2.1849028716216368
1660377599999,1660377600000,0.5582,89.57362952346828,50.0,0.0375,1,1660752000000,0.5358,0.03599516302400573,-2.0799444643496927
1660449599999,1660449600000,0.5906,84.65966813410091,50.0,0.0375,2,1660752000000,0.5358,0.03402048763968845,-4.710870301388416
1662767999999,1662768000000,0.5022,99.56192751891678,50.0,0.0375,1,1663084800000,0.4699,0.03508811230585424,-3.2884383711668677
1663487999999,1663488000000,0.4898,102.08248264597795,50.0,0.0375,1,1663502400000,0.4777,0.03657360146998775,-1.3092716414863248
1663905599999,1663905600000,0.4774,104.73397570171764,50.0,0.0375,1,1663920000000,0.4607,0.03618820695433599,-1.822745601173017
1667591999999,1667592000000,0.4239,117.95234725171031,50.0,0.0375,1,1667779200000,0.4021,0.03557147912243454,-2.6444326492097177
1673179199999,1673179200000,0.2854,175.1927119831815,50.0,0.0375,1,1674057600000,0.3388,0.044516468114926426,9.273274351786968
1673654399999,1673654400000,0.3455,144.71780028943562,50.0,0.0375,2,1674057600000,0.3388,0.03677279305354559,-1.0438820549927557
1674259199999,1674259200000,0.3651,136.9487811558477,50.0,0.0375,1,1674604800000,0.3588,0.03685291700903862,-0.9371302382908752
1674287999999,1674288000000,0.3633,137.62730525736305,50.0,0.0375,2,1674604800000,0.3588,0.0370355078447564,-0.6938583815028906
1674316799999,1674316800000,0.3706,134.91635186184567,50.0,0.0375,3,1674604800000,0.3588,0.036305990286022674,-1.6658189422557954
1675022399999,1675022400000,0.396,126.26262626262626,50.0,0.0375,1,1675108800000,0.3724,0.03526515151515151,-3.0525631313131343
1675310399999,1675310400000,0.4064,123.03149606299213,50.0,0.0375,1,1675612800000,0.3909,0.03606975885826772,-1.980557947834639
1676491199999,1676491200000,0.3981,125.59658377292138,50.0,0.0375,1,1676995200000,0.3929,0.037010173323285614,-0.7276124089424755
1678809599999,1678809600000,0.3645,137.17421124828533,50.0,0.0375,1,1678824000000,0.3503,0.036039094650205765,-2.0214128943758554
1679428799999,1679428800000,0.3627,137.85497656465398,50.0,0.0375,1,1679515200000,0.3503,0.03621794871794872,-1.783119658119658
1680047999999,1680048000000,0.3681,135.83265417006248,50.0,0.0375,1,1680768000000,0.3835,0.039068867155664225,2.0152540070632994
1680278399999,1680278400000,0.4065,123.00123001230013,50.0,0.0375,2,1680768000000,0.3835,0.03537822878228783,-2.9019065190651845
1681171199999,1681171200000,0.3971,125.91286829513976,50.0,0.0375,1,1681905600000,0.4195,0.039615336187358345,2.7433329136237687
1681415999999,1681416000000,0.4211,118.73664212776063,50.0,0.0375,2,1681905600000,0.4195,0.03735751602944669,-0.26483614343385964
1681559999999,1681560000000,0.4556,109.74539069359086,50.0,0.0375,3,1681905600000,0.4195,0.03452864354697102,-4.033837247585607
1688443199999,1688443200000,0.2998,166.7778519012675,50.0,0.0375,1,1688457600000,0.2951,0.036912108072048026,-0.8582680120080098
1689263999999,1689264000000,0.3112,160.66838046272494,50.0,0.0375,1,1689652800000,0.3094,0.03728309768637532,-0.3639861825192824
1689825599999,1689825600000,0.3278,152.5320317266626,50.0,0.0375,1,1689868800000,0.3176,0.03633312995729103,-1.6296598535692497
1696003199999,1696003200000,0.255,196.078431372549,50.0,0.0375,1,1696017600000,0.2487,0.0365735294117647,-1.3093676470588265
1696161599999,1696161600000,0.2622,190.69412662090008,50.0,0.0375,1,1696680000000,0.2576,0.03684210526315789,-0.9515350877192986
1696204799999,1696204800000,0.2659,188.040616773223,50.0,0.0375,2,1696680000000,0.2576,0.036329447160586684,-1.634566566378345
1697889599999,1697889600000,0.2566,194.85580670303975,50.0,0.0375,1,1698811200000,0.2889,0.04222038191738114,6.2141221745908
