open_time,open,high,low,close,volume,quote_vol,close_time,upper,lower,sma50,sma100,sma150,sma200,entry,exit
1632902400000,27.77,28.59,27.39,28.34,1881709.11,52751146.3483,1632916799999,,,,,,,False,False
1632916800000,28.35,28.52,27.5,27.62,2363110.13,66343884.3461,1632931199999,,,,,,,False,False
1632931200000,27.63,27.79,26.74,26.84,1707880.42,46455978.9199,1632945599999,,,,,,,False,False
1632945600000,26.84,27.3,26.42,27.28,1257293.95,33664505.6233,1632959999999,,,,,,,False,False
1632960000000,27.28,28.4,27.13,28.32,2074562.98,58136097.0722,1632974399999,,,,,,,False,False
1632974400000,28.33,28.49,27.72,27.82,1164559.53,32760271.7103,1632988799999,,,,,,,False,False
1632988800000,27.82,28.17,27.52,27.83,1264866.74,35186191.3712,1633003199999,,,,,,,False,False
1633003200000,27.84,28.39,27.72,28.09,1530545.07,42963397.1363,1633017599999,,,,,,,False,False
1633017600000,28.08,28.99,27.85,28.41,1352890.86,38405502.5644,1633031999999,,,,,,,False,False
1633032000000,28.42,28.7,28.1,28.62,814126.26,23171538.5757,1633046399999,,,,,,,False,False
1633046400000,28.61,29.34,28.5,28.72,1402439.9,40552438.8817,1633060799999,,,,,,,False,False
1633060800000,28.72,29.44,28.57,29.41,1246432.84,36169851.6849,1633075199999,,,,,,,False,False
1633075200000,29.41,31.0,29.38,30.97,4246792.82,128674523.527,1633089599999,,,,,,,False,False
1633089600000,30.97,31.4,30.36,31.36,2730241.44,84517679.1032,1633103999999,,,,,,,False,False
1633104000000,31.35,32.33,31.1,32.12,2144098.1,68012517.4564,1633118399999,,,,,,,False,False
1633118400000,32.13,32.29,31.33,31.94,1406343.11,44773959.9922,1633132799999,,,,,,,False,False
1633132800000,31.94,32.72,31.52,31.79,1754227.9,56383704.2499,1633147199999,,,,,,,False,False
1633147200000,31.79,32.29,31.64,32.04,861238.04,27558668.3783,1633161599999,,,,,,,False,False
1633161600000,32.03,32.49,31.71,32.19,1262519.36,40544858.3573,1633175999999,,,,,,,False,False
1633176000000,32.18,32.99,32.06,32.94,1869907.6,60868894.556,1633190399999,32.827586556572015,26.206860792832973,,,,,False,False
1633190400000,32.94,33.39,32.5,33.09,1640493.12,54186294.6877,1633204799999,33.23144828651589,26.302171682449835,,,,,False,False
