signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1635854399999,1635854400000,52.01,0.9613535858488752,50.0,0.0375,1,1636473600000,51.15,0.03687992693712747,-0.9011440107671603
1640548799999,1640548800000,30.85,1.6207455429497568,50.0,0.0375,1,1640664000000,29.51,0.0358711507293355,-2.245170178282008
1640620799999,1640620800000,32.36,1.5451174289245984,50.0,0.0375,2,1640664000000,29.51,0.03419731149567368,-4.475281983930776
1641124799999,1641124800000,28.9,1.7301038062283738,50.0,0.0375,1,1641412800000,27.99,0.03631920415224913,-1.6482136678200718
1642276799999,1642276800000,28.27,1.7686593562079944,50.0,0.0375,1,1642392000000,26.51,0.035165369649805454,-3.1855058365758695
1647460799999,1647460800000,18.59,2.6896180742334588,50.0,0.0375,1,1648756800000,21.32,0.043006993006993004,7.26215034965035
1647705599999,1647705600000,19.58,2.5536261491317673,50.0,0.0375,2,1648756800000,21.32,0.04083248212461696,4.364977017364668
1647950399999,1647950400000,20.15,2.481389578163772,50.0,0.0375,3,1648756800000,21.32,0.03967741935483872,2.8260483870967845
1658131199999,1658131200000,7.52,6.6489361702127665,50.0,0.0375,1,1658534400000,7.3,0.0364029255319149,-1.5366688829787223
1658159999999,1658160000000,7.67,6.51890482398957,50.0,0.0375,2,1658534400000,7.3,0.035691003911342896,-2.4851857887874886
1658966399999,1658966400000,7.69,6.501950585175552,50.0,0.0375,1,1659412800000,7.7,0.03754876462938882,-0.010029258777640847
1659009599999,1659009600000,7.68,6.510416666666667,50.0,0.0375,2,1659412800000,7.7,0.03759765625,0.0551106770833357
1659067199999,1659067200000,8.14,6.142506142506142,50.0,0.0375,3,1659412800000,7.7,0.03547297297297297,-2.7756756756756844
1659700799999,1659700800000,8.54,5.85480093676815,50.0,0.0375,1,1660507200000,8.97,0.03938817330210773,2.4406762295082003
1659743999999,1659744000000,8.81,5.675368898978434,50.0,0.0375,2,1660507200000,8.97,0.03818104426787741,0.8323779795686704
1659772799999,1659772800000,8.79,5.688282138794085,50.0,0.0375,3,1660507200000,8.97,0.03826791808873721,0.9481228668942109
