signal_time,entry_time,entry_price,qty,notional,entry_fee,layer,exit_time,exit_price,exit_fee,net_pnl
1635854399999,1635854400000,200.3,0.2496255616575137,50.0,0.0375,1,1636200000000,193.3,0.03618946580129805,-1.8210683974038973
1635926399999,1635926400000,208.0,0.2403846153846154,50.0,0.0375,2,1636200000000,193.3,0.03484975961538462,-3.606003605769223
1636343999999,1636344000000,205.8,0.24295432458697763,50.0,0.0375,1,1637035200000,244.5,0.044551749271137024,9.320280612244895
1636545599999,1636545600000,287.8,0.17373175816539263,50.0,0.0375,2,1637035200000,244.5,0.03185806115357887,-7.59194318971508
1636934399999,1636934400000,279.3,0.17901897601145722,50.0,0.0375,3,1637035200000,244.5,0.03282760472610097,-6.300187969924812
1642219199999,1642219200000,147.2,0.33967391304347827,50.0,0.0375,1,1642305600000,145.6,0.03709239130434783,-0.6180706521739111
1644249599999,1644249600000,133.0,0.37593984962406013,50.0,0.0375,1,1644624000000,125.6,0.035413533834586466,-2.8548684210526347
1647475199999,1647475200000,111.3,0.44923629829290207,50.0,0.0375,1,1647489600000,110.0,0.03706199460916442,-0.6585691823899381
1647705599999,1647705600000,113.5,0.44052863436123346,50.0,0.0375,1,1648742400000,123.9,0.040936123348017626,4.503061674008814
1647734399999,1647734400000,116.8,0.4280821917808219,50.0,0.0375,2,1648742400000,123.9,0.03977953767123288,2.9621040239726084
1647921599999,1647921600000,119.4,0.41876046901172526,50.0,0.0375,3,1648742400000,123.9,0.038913316582914574,1.8080087939698486
1656187199999,1656187200000,58.7,0.8517887563884157,50.0,0.0375,1,1656288000000,56.6,0.03615843270868825,-1.8624148211243594
1657252799999,1657252800000,53.6,0.9328358208955224,50.0,0.0375,1,1657267200000,52.9,0.03701026119402986,-0.727495335820889
1658001599999,1658001600000,54.25,0.9216589861751152,50.0,0.0375,1,1658577600000,54.9,0.037949308755760365,0.5236290322580587
1658116799999,1658116800000,57.36,0.8716875871687587,50.0,0.0375,2,1658577600000,54.9,0.03589173640167364,-2.21774320083682
1658159999999,1658160000000,58.97,0.8478887569950823,50.0,0.0375,3,1658577600000,54.9,0.034911819569272515,-3.5233190605392566
1658980799999,1658980800000,60.01,0.8331944675887353,50.0,0.0375,1,1659384000000,58.57,0.036600149975004166,-1.2739001833027772
1659009599999,1659009600000,59.84,0.8355614973262031,50.0,0.0375,2,1659384000000,58.57,0.036704127673796785,-1.13536722927808
1659671999999,1659672000000,61.54,0.8124796880077998,50.0,0.0375,1,1660046400000,59.91,0.03650674358141046,-1.398348635034131
1659743999999,1659744000000,62.47,0.8003841844085161,50.0,0.0375,2,1660046400000,59.91,0.035963262365935646,-2.122446774451737
1659959999999,1659960000000,63.77,0.7840677434530343,50.0,0.0375,3,1660046400000,59.91,0.03523012388270346,-3.0992316136114213
1660406399999,1660406400000,65.39,0.7646429117602079,50.0,0.0375,1,1660550400000,61.36,0.03518886679920477,-3.1541998011928443
1660463999999,1660464000000,65.41,0.7644091117566122,50.0,0.0375,2,1660550400000,61.36,0.03517810732303929,-3.168535009937321
1662134399999,1662134400000,61.58,0.8119519324455993,50.0,0.0375,1,1662494400000,55.1,0.03355391360831439,-5.332502435855792
1662825599999,1662825600000,64.07,0.7803964413922273,50.0,0.0375,1,1663099200000,59.89,0.03505345715623537,-3.3346105821757477
1663070399999,1663070400000,66.35,0.7535795026375284,50.0,0.0375,2,1663099200000,59.89,0.033848907309721184,-4.939472494348143
1666555199999,1666555200000,53.15,0.9407337723424272,50.0,0.0375,1,1666627200000,52.58,0.037097836312323614,-0.6108160865475071
1666727999999,1666728000000,56.78,0.8805917576611483,50.0,0.0375,1,1667232000000,54.47,0.03597437477985206,-2.107641334977109
1667390399999,1667390400000,59.18,0.8448800270361608,50.0,0.0375,1,1667880000000,64.58,0.040921764109496446,4.483930381885765
1667433599999,1667433600000,60.95,0.8203445447087776,50.0,0.0375,2,1667880000000,64.58,0.03973338802296964,2.9006173092698915
1667577599999,1667577600000,67.83,0.7371369600471768,50.0,0.0375,3,1667880000000,64.58,0.035703228659885004,-2.468898348813211
1668729599999,1668729600000,62.59,0.7988496564946477,50.0,0.0375,1,1668945600000,61.23,0.03668517335037546,-1.1606207061831015
1668772799999,1668772800000,63.6,0.7861635220125786,50.0,0.0375,2,1668945600000,61.23,0.03610259433962264,-1.9368101415094388
1669132799999,1669132800000,70.34,0.7108330963889679,50.0,0.0375,1,1669608000000,72.47,0.038635555871481375,1.4379389394370192
1670227199999,1670227200000,83.35,0.599880023995201,50.0,0.0375,1,1670400000000,76.66,0.03449010197960408,-4.085187462507497
1672646399999,1672646400000,74.81,0.6683598449405159,50.0,0.0375,1,1674057600000,84.95,0.04258287662077262,6.6970859510760565
1673222399999,1673222400000,78.67,0.6355662895640015,50.0,0.0375,2,1674057600000,84.95,0.04049351722384645,3.9133627812380865
1673683199999,1673683200000,89.83,0.5566069241901369,50.0,0.0375,3,1674057600000,84.95,0.0354628186574641,-2.7892046087053317
1674259199999,1674259200000,90.28,0.5538325210456357,50.0,0.0375,1,1674604800000,87.19,0.03621649313247673,-1.7850589831635006
1674964799999,1674964800000,94.58,0.5286529921759358,50.0,0.0375,1,1675612800000,96.77,0.03836831253964898,1.0818817403256573
1675295999999,1675296000000,100.32,0.4984051036682616,50.0,0.0375,2,1675612800000,96.77,0.03617299641148325,-1.8430111144338128
1675828799999,1675828800000,101.52,0.49251379038613086,50.0,0.0375,1,1675915200000,95.91,0.035427748226950356,-2.83593011229314
1676462399999,1676462400000,97.45,0.513083632632119,50.0,0.0375,1,1676851200000,97.43,0.03749230374551052,-0.08525397639815538
1676491199999,1676491200000,99.37,0.5031699708161417,50.0,0.0375,2,1676851200000,97.43,0.03676788769246252,-1.050417631075773
1676563199999,1676563200000,103.52,0.48299845440494593,50.0,0.0375,3,1676851200000,97.43,0.035293904559505415,-3.0142544918856147
1677657599999,1677657600000,97.4,0.5133470225872689,50.0,0.0375,1,1677772800000,94.58,0.03641427104722792,-1.521552874743334
1679644799999,1679644800000,95.17,0.5253756435851634,50.0,0.0375,1,1679932800000,89.02,0.035076704843963434,-3.303636912892719
1680321599999,1680321600000,93.3,0.5359056806002144,50.0,0.0375,1,1680465600000,90.88,0.03652733118971061,-1.3709190782422298
1681142399999,1681142400000,92.25,0.5420054200542005,50.0,0.0375,1,1681272000000,91.56,0.03721951219512195,-0.4487032520325215
1681444799999,1681444800000,97.67,0.5119279205487868,50.0,0.0375,1,1681905600000,95.47,0.036655318931094506,-1.200396744138422
1681660799999,1681660800000,101.34,0.49338859285573317,50.0,0.0375,2,1681905600000,95.47,0.03532785671995263,-2.9690188967831106
1681790399999,1681790400000,101.87,0.4908216354176892,50.0,0.0375,3,1681905600000,95.47,0.03514405614999509,-3.21390252282321
1684295999999,1684296000000,92.93,0.5380393844829441,50.0,0.0375,1,1684872000000,91.06,0.036745399763262666,-1.0803790487463716
1684353599999,1684353600000,94.74,0.5277601857715855,50.0,0.0375,2,1684872000000,91.06,0.03604338188727043,-2.015700865526695
1685246399999,1685246400000,89.87,0.5563591854901524,50.0,0.0375,1,1685520000000,89.15,0.03719956603983532,-0.47527817959274754
1685318399999,1685318400000,91.46,0.5466870763175159,50.0,0.0375,2,1685520000000,89.15,0.03655286464027991,-1.3369000109337308
1685447999999,1685448000000,93.04,0.5374032674118658,50.0,0.0375,3,1685520000000,89.15,0.03593212596732589,-2.1639308361994822
1685635199999,1685635200000,94.95,0.526592943654555,50.0,0.0375,1,1685980800000,86.1,0.03400473933649289,-4.731852290679312
1687406399999,1687406400000,87.86,0.5690871841566127,50.0,0.0375,1,1687435200000,85.55,0.036514056453448664,-1.3886054518552329
1687550399999,1687550400000,91.8,0.5446623093681917,50.0,0.0375,1,1687939200000,84.78,0.034632352941176475,-3.8956617647058764
1688097599999,1688097600000,95.85,0.5216484089723527,50.0,0.0375,1,1688558400000,102.47,0.04008998435054773,3.3757224830464323
1688155199999,1688155200000,105.37,0.4745183638606814,50.0,0.0375,2,1688558400000,102.47,0.03646792255860302,-1.450071177754579
1689235199999,1689235200000,100.3,0.4985044865403789,50.0,0.0375,1,1689364800000,93.34,0.034897806580259226,-3.5419890329012973
1695139199999,1695139200000,68.26,0.7324934075593319,50.0,0.0375,1,1695240000000,64.09,0.03520912686785819,-3.127206636390268
1695815999999,1695816000000,65.36,0.7649938800489596,50.0,0.0375,1,1695830400000,63.62,0.0365016829865361,-1.405091034271726
1695974399999,1695974400000,66.47,0.7522190461862495,50.0,0.0375,1,1696392000000,64.23,0.03623627200240711,-1.7587069354595983
1696161599999,1696161600000,67.41,0.7417297136923305,50.0,0.0375,2,1696392000000,64.23,0.0357309746328438,-2.4319314641744456
1696204799999,1696204800000,68.19,0.7332453438920663,50.0,0.0375,3,1696392000000,64.23,0.03532226132864057,-2.9764738231412182
1697903999999,1697904000000,64.95,0.7698229407236336,50.0,0.0375,1,1697976000000,63.98,0.03693995381062356,-0.8211682063125479
1698033599999,1698033600000,66.38,0.7532389273877674,50.0,0.0375,1,1698782400000,68.42,0.03865245555890329,1.4604549563121423
1698091199999,1698091200000,67.16,0.7444907683144729,50.0,0.0375,2,1698782400000,68.42,0.03820354377605718,0.862354824300185
1698148799999,1698148800000,70.37,0.7105300554213443,50.0,0.0375,3,1698782400000,68.42,0.03646084979394628,-1.4594944578655729
1699156799999,1699156800000,71.4,0.7002801120448179,50.0,0.0375,1,1699560000000,71.17,0.03737920168067227,-0.23594362745098466
1699214399999,1699214400000,71.81,0.6962818548948614,50.0,0.0375,2,1699560000000,71.17,0.037165784709650464,-0.5202861718423634
1699286399999,1699286400000,73.68,0.6786102062975027,50.0,0.0375,3,1699560000000,71.17,0.036222516286644954,-1.7770341340933755
1701489599999,1701489600000,71.88,0.6956037840845855,50.0,0.0375,1,1702267200000,73.8,0.0385016694490818,1.2595575959933227
1701662399999,1701662400000,73.89,0.6766815536608471,50.0,0.0375,2,1702267200000,73.8,0.03745432399512789,-0.1358556638246128
1702036799999,1702036800000,75.51,0.6621639517944643,50.0,0.0375,3,1702267200000,73.8,0.0366507747318236,-1.2064511323003644
1703591999999,1703592000000,73.42,0.681013347861618,50.0,0.0375,1,1703620800000,72.44,0.03699945518932171,-0.7418925360937138
1703678399999,1703678400000,75.31,0.6639224538573895,50.0,0.0375,1,1703894400000,73.25,0.03647423980879033,-1.4416544947550123
1703721599999,1703721600000,75.98,0.6580679126085812,50.0,0.0375,2,1703894400000,73.25,0.03615260594893393,-1.8701780073703618
1703764799999,1703764800000,77.09,0.6485925541574783,50.0,0.0375,3,1703894400000,73.25,0.035632053444026465,-2.5637274614087375
1704167999999,1704168000000,75.09,0.6658676255160474,50.0,0.0375,1,1704211200000,73.4,0.03665601278465841,-1.199472299906779
1705060799999,1705060800000,75.12,0.665601703940362,50.0,0.0375,1,1705262400000,70.42,0.03515375399361022,-3.200981762513321
1705708799999,1705708800000,71.3,0.7012622720897616,50.0,0.0375,1,1705924800000,69.44,0.03652173913043478,-1.3783695652173962
1707407999999,1707408000000,69.2,0.722543352601156,50.0,0.0375,1,1707840000000,68.85,0.03731033236994219,-0.3277005057803549
1707436799999,1707436800000,70.54,0.7088176920895944,50.0,0.0375,2,1707840000000,68.85,0.03660157357527643,-1.2720034732067007
1707623999999,1707624000000,72.68,0.6879471656576774,50.0,0.0375,3,1707840000000,68.85,0.03552387176664832,-2.707861516235559
1708329599999,1708329600000,71.27,0.7015574575557738,50.0,0.0375,1,1708444800000,68.94,0.03627402834292128,-1.7084029044478783
1708963199999,1708963200000,71.15,0.7027406886858748,50.0,0.0375,1,1709668800000,77.49,0.04084153197470133,4.377034434293735
1709193599999,1709193600000,82.31,0.6074596039363382,50.0,0.0375,2,1709668800000,77.49,0.03530403353177013,-3.000759324504925
1709351999999,1709352000000,91.1,0.5488474204171241,50.0,0.0375,3,1709668800000,77.49,0.03189763995609221,-7.539211031833146
1710158399999,1710158400000,94.69,0.5280388636603655,50.0,0.0375,1,1710446400000,91.49,0.036232706727215125,-1.76345707044038
1711295999999,1711296000000,89.35,0.5595970900951316,50.0,0.0375,1,1712001600000,99.32,0.041684387241186345,5.499998601007279
1711483199999,1711483200000,95.14,0.5255413075467732,50.0,0.0375,2,1712001600000,99.32,0.039147571999159136,2.1201150935463544
1711540799999,1711540800000,97.72,0.511665984445354,50.0,0.0375,3,1712001600000,99.32,0.03811399918133442,0.7430515759312272
1712462399999,1712462400000,104.29,0.47943235209511936,50.0,0.0375,1,1712520000000,100.92,0.03628823473007959,-1.6894752612906303
1716235199999,1716235200000,86.61,0.5773005426625101,50.0,0.0375,1,1716494400000,83.65,0.036218392795289225,-1.7825279990763208
1716278399999,1716278400000,88.58,0.5644615037254459,50.0,0.0375,2,1716494400000,83.65,0.03541290358997516,-2.85570811695642
1716825599999,1716825600000,86.03,0.5811926072300361,50.0,0.0375,1,1716840000000,84.83,0.03697692665349297,-0.7719080553295384
1717617599999,1717617600000,84.94,0.588650812338121,50.0,0.0375,1,1717718400000,84.19,0.0371688839180598,-0.5161569931716542
1721145599999,1721145600000,73.79,0.6775985905949315,50.0,0.0375,1,1721260800000,71.37,0.0362701585580702,-1.7135587477978036
1722225599999,1722225600000,73.14,0.6836204539239814,50.0,0.0375,1,1722369600000,71.98,0.03690525020508614,-0.8674049767569002
1725523199999,1725523200000,68.3,0.7320644216691069,50.0,0.0375,1,1725638400000,63.97,0.035122620790629576,-3.242461566617861
1726703999999,1726704000000,64.84,0.771128932757557,50.0,0.0375,1,1727668800000,67.85,0.03924082356570018,2.244357264034542
1726948799999,1726948800000,66.95,0.7468259895444361,50.0,0.0375,2,1727668800000,67.85,0.03800410754294249,0.5966392830470412
1726977599999,1726977600000,67.34,0.7425007425007425,50.0,0.0375,3,1727668800000,67.85,0.037784006534006535,0.30339137214137113
1728201599999,1728201600000,66.96,0.7467144563918758,50.0,0.0375,1,1728302400000,66.47,0.037225582437275986,-0.44061566606929004
1728921599999,1728921600000,66.94,0.7469375560203168,50.0,0.0375,1,1728993600000,66.04,0.03699581714968629,-0.7467396175679667
1729022399999,1729022400000,69.72,0.7171543316121629,50.0,0.0375,1,1729526400000,71.39,0.03839823580034423,1.1217494979919649
1730174399999,1730174400000,72.2,0.6925207756232686,50.0,0.0375,1,1730361600000,70.98,0.03686634349030471,-0.9192416897506902
1730217599999,1730217600000,73.25,0.6825938566552902,50.0,0.0375,2,1730361600000,70.98,0.03633788395904437,-1.6233259385665435
1730246399999,1730246400000,73.99,0.6757669955399379,50.0,0.0375,3,1730361600000,70.98,0.0359744560075686,-2.1075331125827703
1730937599999,1730937600000,71.0,0.704225352112676,50.0,0.0375,1,1732132800000,83.42,0.044059859154929576,8.664919014084505
1731153599999,1731153600000,73.66,0.678794461037198,50.0,0.0375,2,1732132800000,83.42,0.04246877545479229,6.5450651642682605
1731211199999,1731211200000,75.41,0.6630420368651373,50.0,0.0375,3,1732132800000,83.42,0.041483225036467314,5.2319834902532865
1732334399999,1732334400000,101.08,0.4946576968737634,50.0,0.0375,1,1732622400000,90.34,0.033515532251681836,-5.383639196675899
1732895999999,1732896000000,101.45,0.4928536224741252,50.0,0.0375,1,1733731200000,127.01,0.046948003942828984,12.512890586495809
1733068799999,1733068800000,108.7,0.45998160073597055,50.0,0.0375,2,1733731200000,127.01,0.04381669733210672,8.340946412143518
1733169599999,1733169600000,132.59,0.3771023455765895,50.0,0.0375,3,1733731200000,127.01,0.03592182668376198,-2.1776529150011243
1734465599999,1734465600000,127.56,0.39197240514267795,50.0,0.0375,1,1734508800000,120.07,0.035298095014111006,-3.0086714095327722
1736121599999,1736121600000,115.72,0.4320774282751469,50.0,0.0375,1,1736251200000,111.5,0.036132474939509156,-1.896999222260631
1737086399999,1737086400000,133.81,0.37366415066138553,50.0,0.0375,1,1737288000000,115.15,0.03227057021149391,-7.04234362155295
1737777599999,1737777600000,124.05,0.4030632809351068,50.0,0.0375,1,1737792000000,121.23,0.03664752116082225,-1.2107859733978246
1737820799999,1737820800000,128.04,0.3905029678225555,50.0,0.0375,1,1737936000000,117.07,0.03428713683223993,-4.3556046938456685
1738209599999,1738209600000,121.18,0.412609341475491,50.0,0.0375,1,1738440000000,120.98,0.03743810859877868,-0.15745997689387395
1739966399999,1739966400000,135.92,0.3678634490876987,50.0,0.0375,1,1740081600000,127.66,0.035221085932901706,-3.1112731753972924
1745337599999,1745337600000,82.63,0.6051071039574005,50.0,0.0375,1,1746000000000,84.74,0.038457581992012595,1.2008184073581076
