open_time,open,high,low,close,volume,quote_vol,close_time,upper,lower,sma50,sma100,sma150,sma200,entry,exit
1632902400000,24.2,24.21,23.48,24.05,684569.04,16300433.5976,1632916799999,,,,,,,False,False
1632916800000,24.05,24.13,23.0,23.14,925687.76,21820522.1103,1632931199999,,,,,,,False,False
1632931200000,23.13,23.43,22.89,23.03,592964.19,13725072.2464,1632945599999,,,,,,,False,False
1632945600000,23.04,23.13,22.31,23.01,602883.22,13681142.1351,1632959999999,,,,,,,False,False
1632960000000,23.01,23.92,22.93,23.83,812142.22,19086384.3847,1632974399999,,,,,,,False,False
1632974400000,23.84,23.96,23.25,23.37,377104.19,8908139.9891,1632988799999,,,,,,,False,False
1632988800000,23.36,23.53,22.71,22.96,608383.23,14001135.139,1633003199999,,,,,,,False,False
1633003200000,22.96,23.45,22.76,22.88,471865.55,10857161.3234,1633017599999,,,,,,,False,False
1633017600000,22.88,23.35,22.62,22.9,389713.78,8962194.1921,1633031999999,,,,,,,False,False
1633032000000,22.92,23.59,22.82,23.53,366360.4,8490195.3379,1633046399999,,,,,,,False,False
1633046400000,23.53,24.54,23.48,24.27,1156621.58,27863914.2808,1633060799999,,,,,,,False,False
1633060800000,24.28,25.0,24.16,24.97,647822.57,15930661.9357,1633075199999,,,,,,,False,False
1633075200000,24.98,25.85,24.9,25.52,975890.49,24678573.5599,1633089599999,,,,,,,False,False
1633089600000,25.52,25.79,24.74,25.34,564901.34,14234519.8371,1633103999999,,,,,,,False,False
1633104000000,25.34,25.55,25.14,25.26,423022.01,10713307.909,1633118399999,,,,,,,False,False
1633118400000,25.27,25.7,25.03,25.64,493482.79,12527115.5689,1633132799999,,,,,,,False,False
1633132800000,25.63,26.44,25.35,25.64,1052271.13,27261501.8819,1633147199999,,,,,,,False,False
1633147200000,25.64,25.94,25.37,25.78,330807.88,8479180.7741,1633161599999,,,,,,,False,False
1633161600000,25.78,26.16,25.38,26.07,550921.03,14241050.406,1633175999999,,,,,,,False,False
1633176000000,26.07,26.84,25.98,26.68,655708.58,17283382.6658,1633190399999,26.481105504519736,22.173503875973307,,,,,False,False
1633190400000,26.67,27.23,26.4,27.22,675349.51,18123263.8698,1633204799999,26.80175613555703,22.148338830320437,,,,,False,False
1633204800000,27.22,27.23,25.9,26.15,515026.87,13695826.6478,1633219199999,27.08405844922867,22.24009333894002,,,,,False,False
1633219200000,26.14,26.47,25.73,26.27,465124.76,12169871.7004,1633233599999,27.20964564814576,22.37673746040767,,,,,False,False
1633233600000,26.27,26.53,26.01,26.04,323080.19,8499365.9528,1633247999999,27.295100805392295,22.621885207529388,,,,,False,False
1633248000000,26.04,26.36,25.75,26.15,395642.05,10296686.6524,1633262399999,27.377896695618446,22.80713926604045,,,,,False,False
1633262400000,26.15,26.34,25.77,25.96,370835.1,9670162.5346,1633276799999,27.441915948696987,22.96793559065191,,,,,False,False
1633276800000,25.95,26.61,25.86,26.41,330877.35,8702327.0573,1633291199999,27.479426395748813,23.244129144785063,,,,,False,False
1633291200000,26.41,26.48,25.61,26.0,291676.61,7574835.4748,1633305599999,27.452518115836327,23.55255533216856,,,,,False,False
1633305600000,26.01,26.02,25.03,25.17,513174.14,13044378.4922,1633319999999,27.314242436050268,23.928004086079977,,,,,False,False
1633320000000,25.16,25.52,24.95,25.5,361047.54,9113166.9419,1633334399999,27.118589904864493,24.324509476354038,,,,,False,False
1633334400000,25.5,25.54,24.82,25.08,321020.02,8089070.1971,1633348799999,27.03231156275154,24.593986562612876,,,,,False,False
1633348800000,25.09,25.79,24.22,24.93,626818.54,15669898.6932,1633363199999,26.98330016201882,24.607223291049955,,,,,False,False
