Chiến lược,Lệnh,PnL($),ROI%,WR%,AvgWin,AvgLoss,RR,PF,MaxDD($),MaxDD%
BASE (hiện tại),169,1308.24,87.22,18.93,73.48,-7.61,9.65,2.25,-1683.61,-112.24
R5<20+R20<45,114,1845.62,131.83,23.68,87.72,-6.01,14.6,4.53,-1637.83,-116.99
R5<20+R20<50,115,1843.61,131.69,23.48,87.72,-5.96,14.71,4.51,-1637.83,-116.99
R5<22+R20<50,119,1522.58,108.76,21.01,84.95,-6.4,13.28,3.53,-1637.83,-116.99
R5<25+R20<45,124,1632.06,116.58,21.77,83.15,-6.32,13.16,3.66,-1662.02,-118.72
R5<25+R20<50,124,1632.66,116.62,21.77,83.15,-6.31,13.17,3.67,-1662.02,-118.72
R5<22+R20<55,122,1651.36,117.95,21.31,87.08,-6.38,13.64,3.69,-1635.99,-116.86
R5<25+R20<55,127,1767.32,126.24,22.05,85.19,-6.24,13.65,3.86,-1660.17,-118.58
R5<25+R20<60,129,1719.19,122.8,21.71,85.19,-6.6,12.92,3.58,-1660.17,-118.58
R5<28+R20<50,130,1662.81,118.77,22.31,78.48,-6.07,12.93,3.71,-1662.02,-118.72
A2+dS20<22%,107,1720.3,122.88,25.23,80.86,-5.79,13.98,4.72,-1639.89,-117.14
A2+dS20<23%,108,1717.71,122.69,25.0,80.86,-5.75,14.07,4.69,-1639.89,-117.14
A2+dS20<25%,109,1716.49,122.61,24.77,80.86,-5.69,14.21,4.68,-1639.89,-117.14
A2+dS20<27%,110,1711.36,122.24,24.55,80.86,-5.68,14.23,4.63,-1637.83,-116.99
A2+ATR<6,84,1658.98,118.5,28.57,81.39,-4.91,16.58,6.63,-813.08,-58.08
A2+ATR<6.5,90,1613.17,115.23,26.67,81.39,-5.16,15.79,5.74,-813.08,-58.08
A2+ATR<7.5,104,1547.28,110.52,25.96,73.1,-5.54,13.2,4.63,-846.52,-60.47
A2+ATR<8,108,1694.28,121.02,25.93,76.85,-5.72,13.43,4.7,-1639.89,-117.14
A2+dS20<22+ATR<7,100,1579.67,112.83,26.0,75.86,-5.31,14.3,5.02,-826.71,-59.05
A2+dS20<25+ATR<7,101,1578.68,112.76,25.74,75.86,-5.25,14.46,5.01,-826.71,-59.05
A2+dS20<20+ATR<8,103,1555.26,111.09,26.21,73.1,-5.51,13.28,4.72,-847.66,-60.55
R5<25+R20<50+dS20<25,122,1526.55,109.04,22.13,77.99,-6.1,12.79,3.64,-1634.31,-116.74
R5<25+R20<50+ATR<7,106,1319.54,94.25,22.64,73.99,-5.56,13.3,3.89,-849.78,-60.7
