ts,equity,n_pos,margin_pct,note
1782172800000,2000.0,0,0.0,day
1782259200000,2000.0,0,0.0,day
1782345600000,2000.0,3,21.1,day
1782432000000,1989.9100666366394,3,20.1,day
1782518400000,1989.4938846966031,3,23.0,day
1782604800000,1989.4938846966031,3,23.0,day
1782691200000,1989.4938846966031,3,23.0,day
1782777600000,1989.4938846966031,3,23.0,day
1782864000000,1989.4938846966031,3,23.0,day
1782950400000,1989.4938846966031,3,23.0,day
1783036800000,1977.5777172367457,4,32.9,day
1783123200000,1957.596529095332,6,32.6,day
1783209600000,2009.111594574625,6,31.3,day
1783296000000,2009.111594574625,6,31.3,day
1783382400000,1978.5356619319095,6,27.9,day
1783468800000,1988.0828926928154,6,27.2,day
1783555200000,1968.2067434255243,5,27.3,day
1783641600000,1955.3752202479584,5,19.3,day
1783728000000,1955.3329160315027,5,21.7,day
1783814400000,1940.6356860967169,5,21.9,day
1783900800000,1957.2800436464115,4,17.6,day
1783987200000,1957.4041348531964,4,18.9,day
1784073600000,1957.4041348531964,6,37.4,day
1784160000000,2005.3585005425182,5,31.5,day
1784246400000,1989.564872580907,6,30.1,day
1784332800000,1977.1152130658104,6,24.5,day
1784419200000,1977.1152130658104,6,24.5,day
1784505600000,1961.7258312618592,5,19.3,day
1784592000000,1961.7258312618592,5,19.3,day
1784678400000,1941.8870514231191,6,39.2,day
1784764800000,1941.8870514231191,6,39.2,day
1784851200000,1924.851522367016,4,17.2,day
1784937600000,1924.851522367016,6,32.4,day
1785024000000,1925.0666842565279,6,33.2,day
1785110400000,1917.522117373367,6,32.6,day
1785196800000,1890.3280288050141,6,34.2,day
1785283200000,1878.5280679605362,6,33.3,day
1785369600000,1878.5280679605362,6,33.3,day
1785456000000,1873.3123780851447,6,32.0,day
1785542400000,1873.3123780851447,6,32.0,day
1785628800000,1855.1178614031794,5,26.9,day
1785715200000,1855.1178614031794,6,32.5,day
1785801600000,1854.6870472877376,6,31.4,day
1785888000000,1856.9883357117285,6,32.2,day
1785974400000,1851.524455397069,6,31.2,day
1786060800000,1836.065351736452,6,39.4,day
1786147200000,1821.9182622357805,6,38.8,day
1786233600000,1810.5611181421675,6,36.4,day
1786320000000,1810.5611181421675,6,36.4,day
1786406400000,1810.4325430081756,6,37.7,day
1786492800000,1799.292757257616,5,33.5,day
1786579200000,1799.292757257616,5,33.5,day
1786665600000,1799.292757257616,5,33.5,day
1786752000000,1799.292757257616,5,33.5,day
1786838400000,1799.292757257616,5,33.5,day
1786924800000,1799.292757257616,5,33.5,day
1787011200000,1799.292757257616,5,33.5,day
1787097600000,1799.292757257616,5,33.5,day
1787184000000,1877.315504251325,6,37.6,day
1787270400000,1884.6325878285318,6,37.8,day
1787356800000,2117.2747384188624,6,25.3,day
1787443200000,2036.9127730683433,3,36.8,day
1787529600000,2036.9127730683433,5,39.8,day
1787616000000,2043.476882407121,5,20.4,day
1787702400000,2018.6528834664327,3,18.6,day
1787788800000,2018.6528834664327,3,18.6,day
1787875200000,2030.7476703450977,3,10.8,day
1787961600000,2030.4561508510983,3,12.2,day
1788048000000,2030.4561508510983,3,12.2,day
1788134400000,2030.4561508510983,5,16.9,day
1788220800000,2028.00022663955,5,16.9,day
1788307200000,2027.465121504483,6,17.4,day
1788393600000,2012.066208714051,5,14.8,day
1788480000000,2022.726462437748,5,16.3,day
1788566400000,2006.7040546519595,6,14.2,day
1788609600000,2006.7040546519595,6,14.2,scan
1788609600000,2006.7040546519595,6,14.2,scan
1788609600000,2006.7040546519595,6,14.2,scan
