strategy,symbol,direction,entry_time,exit_time,entry_px,exit_px,reason,atr_pct,notional,gross_usd,funding_usd,fee_usd,net_usd,equity_after
KELT,BTCUSDT,-1,1782316800000,1782388800000,59923.8,61556.174999999996,TRAIL,1.681,356.87,-9.72,-0.01,0.36,-10.09,1989.91
KELT,PAXGUSDT,-1,1782316800000,1782475200000,3987.23,3987.23,TRAIL,1.125,533.31,-0.0,0.12,0.53,-0.42,1989.49
KELT,BTCUSDT,-1,1782388800000,1782993600000,59536.2,62005.32857142857,TRAIL,2.074,287.89,-11.94,0.31,0.29,-11.92,1977.58
KELT,BNBUSDT,-1,1782316800000,1783080000000,555.26,568.2874999999999,TRAIL,1.594,376.42,-8.83,0.21,0.38,-8.99,1968.58
KELT,TRXUSDT,-1,1782475200000,1783108800000,0.32005,0.323295,TRAIL,0.843,707.86,-7.18,-3.1,0.71,-10.99,1957.6
DON,ADAUSDT,1,1783036800000,1783180800000,0.1667,0.19945,TP,2.807,264.23,51.91,-0.13,0.26,51.52,2009.11
DON,ADAUSDT,1,1783180800000,1783339200000,0.1932,0.18080000000000002,TRAIL,3.209,234.77,-15.07,-0.12,0.23,-15.42,1993.69
DON,1000PEPEUSDT,1,1783108800000,1783339200000,0.002771,0.002616328571428572,TRAIL,2.791,263.03,-14.68,-0.21,0.26,-15.16,1978.54
DON,EDGEUSDT,1,1783382400000,1783440000000,0.3324,0.35319999999999996,TRAIL,4.573,162.25,10.15,-0.02,0.16,9.97,1988.51
KELT,SOLUSDT,1,1783108800000,1783468800000,82.3,82.3,TRAIL,2.123,276.64,0.0,-0.15,0.28,-0.43,1988.08
DON,EDGEUSDT,1,1783440000000,1783483200000,0.3938,0.4029857142857143,TRAIL,6.013,124.02,2.89,-0.01,0.12,2.76,1990.85
KELT,PAXGUSDT,1,1782993600000,1783497600000,4122.93,4053.225,TRAIL,0.984,603.13,-10.2,-0.5,0.6,-11.3,1979.54
KELT,ETHUSDT,1,1783080000000,1783497600000,1730.37,1730.37,TRAIL,1.969,299.9,0.0,-0.26,0.3,-0.56,1978.98
DON,EDGEUSDT,1,1783483200000,1783512000000,0.4862,0.4379714285714286,TRAIL,6.953,107.37,-10.65,-0.02,0.11,-10.78,1968.21
KELT,PAXGUSDT,-1,1783497600000,1783598400000,4058.32,4125.191428571428,TRAIL,0.824,720.81,-11.88,0.01,0.72,-12.59,1955.62
KELT,XLMUSDT,-1,1783598400000,1783641600000,0.18128,0.18128,TRAIL,2.026,289.57,-0.0,0.05,0.29,-0.24,1955.38
DON,BUSDT,-1,1783339200000,1783684800000,0.1625,0.1625,TRAIL,7.015,105.76,-0.0,0.06,0.11,-0.04,1955.33
DON,BUSDT,-1,1783756800000,1783771200000,0.1077,0.1567,TRAIL,22.748,32.23,-14.66,0.0,0.03,-14.7,1940.64
DON,ARBUSDT,1,1783569600000,1783900800000,0.0848,0.09085,TRAIL,3.09,238.89,17.04,-0.16,0.24,16.64,1957.28
KELT,AAVEUSDT,1,1783656000000,1783915200000,94.19,94.3725,TRAIL,2.356,248.97,0.48,-0.11,0.25,0.12,1957.4
DON,ZECUSDT,1,1783065600000,1784116800000,463.94,580.09,TP,3.577,207.35,51.91,-0.59,0.21,51.12,2008.52
KELT,TRUMPUSDT,-1,1783915200000,1784131200000,1.543,1.599,TRAIL,1.815,323.6,-11.74,-0.16,0.32,-12.23,1996.29
KELT,ONDOUSDT,1,1784131200000,1784145600000,0.3337,0.34525,TRAIL,2.162,277.02,9.59,0.0,0.28,9.31,2005.6
DON,FLOCKUSDT,1,1784116800000,1784160000000,0.03706,0.03706,TRAIL,3.384,222.54,0.0,-0.02,0.22,-0.24,2005.36
KELT,ONDOUSDT,1,1784145600000,1784232000000,0.3649,0.3649,TRAIL,2.592,232.16,0.0,0.0,0.23,-0.23,2005.13
DON,BTCUSDT,1,1784059200000,1784246400000,65014.7,63501.985714285714,TRAIL,1.163,630.95,-14.68,-0.25,0.63,-15.56,1989.56
DON,ETHUSDT,1,1784030400000,1784260800000,1874.38,1825.8157142857142,TRAIL,1.613,455.07,-11.79,-0.2,0.46,-12.45,1977.12
DON,TAOUSDT,-1,1784232000000,1784505600000,191.17,200.19142857142856,TRAIL,2.36,318.71,-15.04,-0.03,0.32,-15.39,1961.73
KELT,SOLUSDT,-1,1783497600000,1784606400000,77.5,78.705,TRAIL,1.985,299.05,-4.65,0.27,0.3,-4.68,1957.05
DON,HYPEUSDT,-1,1784246400000,1784606400000,59.99,63.23571428571429,TRAIL,2.705,275.8,-14.92,0.04,0.28,-15.16,1941.89
DON,BTCUSDT,1,1784606400000,1784808000000,66166.9,64819.94285714285,TRAIL,1.018,722.75,-14.71,-0.24,0.72,-15.67,1926.22
KELT,SOLUSDT,1,1784606400000,1784808000000,78.53,78.53,TRAIL,1.377,426.34,0.0,0.02,0.43,-0.41,1925.81
DON,XRPUSDT,1,1784635200000,1784808000000,1.1543,1.1543,TRAIL,1.266,575.17,0.0,-0.1,0.58,-0.67,1925.14
DON,NOMUSDT,1,1784808000000,1784836800000,0.001648,0.001648,TRAIL,2.631,274.4,0.0,-0.01,0.27,-0.29,1924.85
KELT,DOGEUSDT,-1,1783468800000,1784995200000,0.07257,0.07257,TRAIL,2.13,280.02,-0.0,0.5,0.28,0.22,1925.07
DON,XMRUSDT,1,1784937600000,1785081600000,371.39,371.39,TRAIL,1.571,459.54,0.0,-0.23,0.46,-0.69,1924.38
KELT,BCHUSDT,-1,1784808000000,1785081600000,214.19,217.28,TRAIL,1.33,434.27,-6.26,-0.16,0.43,-6.86,1917.52
DON,USELESSUSDT,-1,1784260800000,1785139200000,0.06137,0.06137,TRAIL,6.72,110.32,-0.0,0.17,0.11,0.06,1917.58
KELT,DOGEUSDT,1,1784995200000,1785182400000,0.07278,0.07023,TRAIL,1.752,329.66,-11.55,-0.18,0.33,-12.06,1905.52
DON,AAVEUSDT,1,1785096000000,1785182400000,101.42,97.44,TRAIL,1.962,366.47,-14.38,-0.11,0.37,-14.86,1890.66
KELT,BCHUSDT,1,1785081600000,1785182400000,217.21,217.21,TRAIL,1.19,483.5,0.0,0.15,0.48,-0.34,1890.33
KELT,TAOUSDT,-1,1785182400000,1785268800000,187.44,194.81714285714287,TRAIL,1.968,290.5,-11.43,-0.08,0.29,-11.8,1878.53
KELT,FILUSDT,-1,1785182400000,1785412800000,0.6938,0.70685,TRAIL,2.213,256.2,-4.82,-0.14,0.26,-5.22,1873.31
KELT,UNIUSDT,1,1785412800000,1785556800000,4.328,4.097,TRAIL,3.156,178.1,-9.51,-0.08,0.18,-9.76,1863.55
DON,DOTUSDT,-1,1785182400000,1785628800000,0.7584,0.7584,TRAIL,1.772,400.13,-0.0,0.14,0.4,-0.26,1863.29
KELT,NEARUSDT,-1,1785268800000,1785628800000,1.653,1.7105000000000001,TRAIL,2.446,230.42,-8.02,0.07,0.23,-8.17,1855.12
DON,ADAUSDT,1,1785643200000,1785758400000,0.1861,0.1861,TRAIL,2.261,307.72,0.0,-0.12,0.31,-0.43,1854.69
KELT,FARTCOINUSDT,-1,1784232000000,1785859200000,0.1363,0.1347,TRAIL,3.522,170.81,2.01,0.47,0.17,2.3,1856.99
KELT,LITUSDT,-1,1785556800000,1785960000000,2.0424,2.0424,TRAIL,3.436,162.72,-0.0,0.11,0.16,-0.05,1856.94
KELT,ARBUSDT,1,1785628800000,1785974400000,0.08067,0.0794925,TRAIL,1.614,344.78,-5.03,-0.04,0.34,-5.42,1851.52
KELT,NOMUSDT,1,1785974400000,1785988800000,0.001657,0.0017522500000000003,TRAIL,4.065,136.64,7.85,0.0,0.14,7.72,1859.24
KELT,NOMUSDT,1,1785988800000,1786003200000,0.001905,0.0017202857142857143,TRAIL,4.848,115.05,-11.16,-0.01,0.12,-11.28,1847.97
DON,ADAUSDT,1,1785758400000,1786017600000,0.196,0.196,TRAIL,2.784,249.8,0.0,-0.22,0.25,-0.47,1847.49
KELT,FARTCOINUSDT,1,1785859200000,1786032000000,0.1355,0.12852857142857144,TRAIL,2.572,216.56,-11.14,-0.07,0.22,-11.43,1836.07
DON,ADAUSDT,1,1786017600000,1786104000000,0.2089,0.1979142857142857,TRAIL,2.629,263.48,-13.86,-0.03,0.26,-14.15,1821.92
