fundingTime,fundingRate,markPrice
1698796800000,0.0001887,0.0011466
1698825600000,0.0001,0.00112472
1698854400000,0.00014621,0.00110927
1698883200001,0.0006495,0.0011867
1698912000000,0.00046722,0.00114906
1698940800000,0.0001,0.00110591
1698969600000,0.0001,0.00109223
1698998400000,0.0001,0.0010575
1699027200000,0.00019472,0.0010885
1699056000000,0.00024579,0.0010788
1699084800000,0.0003606,0.00111657
1699113600000,0.00018768,0.00108571
1699142400000,0.00012585,0.0011164
1699171200000,0.00024201,0.0011277
1699200000000,0.00012838,0.00109776
1699228800000,0.00043681,0.0011229
1699257600001,0.00031219,0.00114495
1699286400000,0.00051751,0.00115985
1699315200001,0.00064653,0.00120554
1699344000000,0.00050305,0.00116643
1699372800000,0.00028169,0.0011137
1699401600000,0.00040727,0.0011661
1699430400000,0.00035937,0.00116619
1699459200000,0.00028688,0.0011461
1699488000000,0.00043853,0.001185
1699516800000,0.00063331,0.0012952
1699545600000,0.00068228,0.0014045
1699574400000,0.0001,0.00133276
1699603200000,0.00032396,0.0012889
1699632000000,0.0001,0.00128632
1699660800000,0.00049909,0.00134359
1699689600000,0.00011261,0.0012643
1699718400000,0.00067515,0.0013144
1699747200000,0.00034316,0.00127712
1699776000000,0.00037385,0.00126698
1699804800001,0.00041134,0.00123448
1699833600000,0.00042129,0.0012271
1699862400000,0.00019388,0.0011794
1699891200000,0.00052559,0.0011973
1699920000000,0.0001,0.0011636
1699948800000,0.0001,0.00119543
1699977600001,0.0001,0.00117629
1700006400000,0.0001,0.00115165
1700035200000,0.00029808,0.0011725
1700064000000,0.00028442,0.0012241
1700092800000,0.00047597,0.0012562
1700121600000,0.00075151,0.0012484
1700150400001,0.00023258,0.0011632
1700179200000,0.0001,0.001142
1700208000001,0.0001,0.0011471
1700236800001,0.0001,0.0010951
1700265600000,0.0001,0.0011525
1700294400000,0.0001,0.0011241
1700323200000,0.0001,0.00114373
1700352000000,0.00028838,0.0011485
1700380800000,0.00025824,0.00113876
