fundingTime,fundingRate,markPrice
1698796800000,-0.00021177,7.04251534
1698825600000,0.0001,6.90047214
1698854400000,0.0001,6.71112525
1698883200001,0.0001,7.10814532
1698912000000,-0.00018365,7.008
1698940800000,-0.00028998,6.68324212
1698969600000,-0.00054559,6.678
1698998400000,-0.0001745,6.56146269
1699027200000,-5.839e-05,6.68867072
1699056000000,8.294e-05,6.698
1699084800000,0.0001,6.852
1699113600000,0.0001,6.90079771
1699142400000,0.0001,6.95463994
1699171200000,0.0001,7.09
1699200000000,0.0001,6.86479286
1699228800000,0.0001,6.872
1699257600001,0.0001,6.93155833
1699286400000,0.0001,7.3
1699315200001,3.573e-05,7.41010961
1699344000000,0.0001,7.31075893
1699372800000,2.663e-05,7.08
1699401600000,7.884e-05,7.26571034
1699430400000,0.0001,7.20252077
1699459200000,0.0001,7.232
1699488000000,0.0001,7.419
1699516800000,0.0001,7.43397268
1699545600000,0.00024419,7.403
1699574400000,-0.00016977,7.292
1699603200000,0.0001,7.37970529
1699632000000,0.0001,7.166
1699660800000,0.0001,7.49268489
1699689600000,0.0001,7.347
1699718400000,0.0001,7.564
1699747200000,0.0001,7.677
1699776000000,0.00016078,8.03737836
1699804800001,0.0001,8.02821625
1699833600000,0.00064635,7.81756668
1699862400000,0.00017353,7.62
1699891200000,0.00010628,7.67229421
1699920000000,4.867e-05,7.322
1699948800000,0.0001,7.2494011
1699977600001,-0.00028959,7.262
1700006400000,7.37e-06,7.123
1700035200000,0.0001,7.253
1700064000000,0.0001,7.594
1700092800000,0.00024364,7.69376658
1700121600000,0.00020098,7.91805388
1700150400001,0.00015183,7.501
1700179200000,0.0001,7.28267801
1700208000001,0.0001,7.47
1700236800001,0.0001,6.97146504
1700265600000,0.0001,7.257
1700294400000,0.0001,6.92
1700323200000,0.0001,7.04553233
1700352000000,0.0001,7.07127997
1700380800000,0.0001,7.04805034
1700409600000,0.0001,7.049
1700438400000,0.0001,7.209
1700467200000,0.0001,7.29460379
1700496000000,0.0001,7.432
1700524800000,0.0001,7.19959069
1700553600000,0.0001,7.244
1700582400000,0.0001,7.157
1700611200000,0.0001,6.775
1700640000000,0.0001,7.13222961
1700668800000,0.0001,7.149
1700697600000,0.0001,7.31890748
1700726400000,0.0001,7.28421526
1700755200001,0.0001,7.16752989
1700784000000,0.0001,7.22717874
1700812800000,0.0001,7.32077325
1700841600000,0.0001,7.39910306
1700870400000,0.0001,7.43977892
1700899200000,0.0001,7.46928538
1700928000000,0.0001,7.373
1700956800000,0.0001,7.41
1700985600000,0.0001,7.39514872
1701014400000,0.0001,7.25739544
1701043200000,0.0001,7.27556527
1701072000001,0.0001,7.1274623
1701100800000,0.0001,6.86591408
1701129600000,0.0001,6.95317346
1701158400000,0.0001,6.79686749
1701187200000,0.0001,6.94950475
1701216000001,0.0001,7.0257537
1701244800000,0.0001,7.039
1701273600000,0.0001,6.947
1701302400000,0.0001,7.02367044
1701331200000,0.0001,7
1701360000000,0.0001,7.01291827
1701388800000,0.0001,6.98006726
1701417600000,0.0001,7.04378581
1701446400000,0.0001,7.02752611
1701475200000,0.0001,7.061
1701504000000,0.0001,7.169
1701532800000,0.0001,7.28621487
1701561600000,0.0001,7.347
1701590400000,0.0001,7.36547272
1701619200000,0.0001,7.28004726
1701648000000,0.00023354,7.31
1701676800000,0.00033128,7.56152498
1701705600000,0.0001,7.247
1701734400000,0.00026519,7.7738545
1701763200000,0.00031177,7.47472921
1701792000000,0.0001,7.475
1701820800000,0.00030821,7.70828259
1701849600000,0.0002299,7.562
1701878400000,0.00015788,7.566
1701907200000,0.0001,7.385
1701936000000,0.00014635,7.6100483
1701964800000,0.00016519,7.8
1701993600000,0.00038217,7.949
1702022400000,0.0001,8.1319508
1702051200000,0.0001,8.424
1702080000000,0.00019046,8.50249079
1702108800000,0.00036765,8.64732779
1702137600000,0.00011909,8.56
1702166400000,0.00018531,8.25243104
1702195200000,0.00019169,8.237
1702224000000,0.00010937,8.14861019
1702252800000,0.00020445,8.4397541
1702281600000,0.0001,7.75192068
1702310400000,0.0001,7.77502629
1702339200000,0.0001,7.795
1702368000000,0.0001,8.3746166
1702396800000,0.0001,9.035
1702425600000,0.00016193,9.1145268
1702454400000,0.0001,8.31789087
1702483200001,0.0001,8.35015993
1702512000000,0.0001,8.578
1702540800000,0.0001,8.425
1702569600000,0.0001,8.248856
1702598400000,0.00036894,8.424
1702627200000,0.00036879,8.17133315
1702656000000,0.00023411,8.3042293
1702684800000,0.00014798,8.226
1702713600000,0.00019159,8.29007029
1702742400001,0.0001,8.412
1702771200000,0.00018994,8.18
1702800000000,0.00010179,8.07128386
1702828800000,0.00033153,8.15642218
1702857600000,0.00015358,8.04436978
1702886400001,0.00016134,7.808
1702915200000,0.00023333,7.72609967
1702944000000,0.0001426,7.88926395
1702972800000,0.0001,7.955
1703001600000,0.00016199,7.8642361
1703030400000,0.0001,8.09566462
1703059200000,0.00018995,8.291
1703088000000,0.00020009,8.25876983
1703116800000,0.00035506,8.1126954
1703145600000,0.0004017,8.22
1703174400000,0.00026662,8.47054366
1703203200000,0.00043557,8.5279789
1703232000000,0.00031361,8.38927707
1703260800000,0.00024289,8.79871587
1703289600000,0.00039894,9.264
1703318400001,0.00032917,9.20744149
1703347200000,0.00032619,9.19947196
1703376000000,0.00037199,9.31947332
1703404800000,0.00033867,9.47234905
1703433600000,0.00050384,9.366
1703462400000,0.00041778,9.31706202
1703491200000,0.00058261,9.38736175
1703520000000,0.00061621,10.325
1703548800000,0.0007858,10.41834816
1703577600000,0.00069199,10.15107656
1703606400000,0.00057327,9.917
1703635200000,0.0004107,10.756
1703664000000,0.00051613,10.11295963
1703692800000,0.00054192,10.25913783
1703721600000,0.00043681,10.15
1703750400000,0.00089469,10.041
1703779200000,0.00063635,9.7486358
1703808000001,0.0005979,9.629
1703836800000,0.00046583,9.79302596
1703865600000,0.0006039,9.784
1703894400001,0.00041266,9.686
1703923200000,0.00044277,9.61823144
1703952000000,0.00042494,9.56450291
1703980800000,0.00025974,9.39050151
1704009600001,0.00040114,9.63209569
1704038400000,0.00033817,9.619
1704067200000,0.0004295,9.4
1704096000000,0.00050727,9.35593525
1704124800000,0.00048874,9.68680518
1704153600000,0.00058781,9.94870363
1704182400000,0.00042214,10.17542966
1704211200000,0.00070995,10.11951215
1704240000000,0.00053176,10.264
1704268800000,0.0004953,10.082
1704297600000,0.0001,9.0708562
1704326400000,0.0001,9.05868386
1704355200000,0.0001,9.44129094
1704384000000,0.0001,10.89832066
1704412800001,0.0001,10.31968603
1704441600000,0.0001,10.51815573
1704470400000,0.0001,10.139
1704499200000,0.0001,9.645
1704528000000,0.0001,9.11018034
1704556800000,0.0001,9.15906509
1704585600000,0.0001,9.0489932
1704614400001,0.0001,9.1488116
1704643200001,0.0001,8.83568121
1704672000000,0.0001,8.475
1704700800000,0.0001,8.21021561
1704729600000,0.0001,8.617562
1704758400001,0.0001,8.808
1704787200000,0.0001,8.5949933
1704816000000,0.0001,8.11346387
1704844800000,0.0001,8.28088909
1704873600000,0.0001,8.23378041
1704902400000,0.0001,8.33263362
1704931200000,0.0001,8.886
1704960000000,0.0001,9.31279101
1704988800000,0.0001,9.13247655
1705017600001,0.0001,9.44591847
1705046400000,0.0001,9.57189441
1705075200000,0.0001,9.48975828
1705104000000,0.0001,9.0192491
1705132800000,0.0001,9.16165227
1705161600001,0.0001,10.28974865
1705190400000,0.0001,10.00570234
1705219200000,0.0001,9.69063668
1705248000001,0.0001,9.997
1705276800000,0.0001,9.67661895
1705305600000,0.0001,10.18881336
1705334400000,0.0001,9.76264394
1705363200000,0.0001,9.51
1705392000000,0.0001,9.53630773
1705420800001,0.0001,9.38448716
1705449600000,0.0001,9.437
1705478400000,0.0001,9.157
1705507200000,0.0001,9.235
1705536000001,0.0001,9.34082643
1705564800000,0.0001,9.386
1705593600000,0.0001,9.14621086
1705622400000,0.0001,8.71922379
1705651200000,0.0001,8.61229451
1705680000002,0.0001,8.43478051
1705708800000,0.0001,8.58151488
1705737600003,0.0001,8.493
1705766400000,0.0001,8.37541486
1705795200000,0.0001,8.57047767
1705824000000,0.0001,8.55409131
1705852800000,0.0001,8.603
1705881600000,0.0001,8.44749836
1705910400000,0.0001,8.33701489
1705939200000,0.0001,8.16085708
1705968000000,0.0001,8.049
1705996800000,0.0001,8.1438763
1706025600000,0.0001,7.795
1706054400000,-0.00014556,8.739
1706083200000,0.0001,8.61020675
1706112000000,0.0001,8.47138517
1706140800000,0.0001,8.57361176
1706169600001,0.0001,8.37753181
1706198400000,0.0001,8.25213133
1706227200001,0.0001,8.33228867
1706256000000,0.0001,8.44176152
1706284800000,0.0001,8.64998869
1706313600000,0.0001,8.71896842
1706342400000,0.0001,8.859
1706371200000,0.0001,9.101
1706400000000,0.0001,9.12157289
