open_time,open,high,low,close,volume,quote_vol,close_time
1698796800000,7.04255244,7.104,6.994,7.001,0,0,1698800399999
1698800400000,7.001,7.047,6.97151468,7.003,0,0,1698803999999
1698804000000,7.003,7.224,6.97984568,7.07713743,0,0,1698807599999
1698807600000,7.07713743,7.089,6.98068463,6.99643905,0,0,1698811199999
1698811200000,6.99643911,7.10716098,6.96586556,7.03112761,0,0,1698814799999
1698814800000,7.03112766,7.05453359,6.8758631,6.884,0,0,1698818399999
1698818400000,6.884,6.9530924,6.842,6.928,0,0,1698821999999
1698822000000,6.928,7.00769621,6.86421055,6.898,0,0,1698825599999
1698825600000,6.90048219,6.95925023,6.87714291,6.933,0,0,1698829199999
1698829200000,6.933,6.988,6.88894754,6.95950465,0,0,1698832799999
1698832800000,6.95951304,7.071,6.839,6.84,0,0,1698836399999
1698836400000,6.841,6.88650164,6.82250104,6.87,0,0,1698839999999
1698840000000,6.87,6.93839467,6.77480036,6.899,0,0,1698843599999
1698843600000,6.9019273,7.025,6.80977033,6.859,0,0,1698847199999
1698847200000,6.86,6.92890724,6.74629606,6.78232629,0,0,1698850799999
1698850800000,6.7822469,6.81807565,6.69401224,6.711,0,0,1698854399999
1698854400000,6.71112525,6.82497597,6.66374999,6.802,0,0,1698857999999
1698858000000,6.802,6.863,6.769,6.85158363,0,0,1698861599999
1698861600000,6.856,7.15273796,6.8315596,7.06214978,0,0,1698865199999
1698865200000,7.05814431,7.312,7.05621418,7.14845417,0,0,1698868799999
1698868800000,7.15071057,7.293,7.15059184,7.24510339,0,0,1698872399999
1698872400000,7.24636489,7.29443405,7.16135605,7.21158287,0,0,1698875999999
1698876000000,7.21158287,7.21990011,7.11707717,7.12143412,0,0,1698879599999
1698879600000,7.12245782,7.12742269,7.034,7.108,0,0,1698883199999
1698883200000,7.1080575,7.15424143,7.04103483,7.133,0,0,1698886799999
1698886800000,7.134,7.201,7.09255409,7.09796058,0,0,1698890399999
1698890400000,7.0979691,7.16552241,7.06580446,7.145,0,0,1698893999999
1698894000000,7.145,7.194,7.122,7.1513572,0,0,1698897599999
1698897600000,7.15039364,7.18,7.04007641,7.04864129,0,0,1698901199999
1698901200000,7.04863278,7.061,6.90845655,6.91868772,0,0,1698904799999
1698904800000,6.91868772,7.007,6.89990829,6.99810931,0,0,1698908399999
1698908400000,6.99810931,7.01960215,6.967,7.009,0,0,1698911999999
1698912000000,7.008,7.012,6.91757239,7.0107206,0,0,1698915599999
1698915600000,7.01072909,7.03908545,6.97235523,7.01651274,0,0,1698919199999
1698919200000,7.01651245,7.049,6.99010822,6.99203895,0,0,1698922799999
1698922800000,6.99233655,7.035,6.95978393,7.01,0,0,1698926399999
1698926400000,7.01,7.05868865,6.96319739,7.02,0,0,1698929999999
1698930000000,7.02,7.054,6.865,6.906,0,0,1698933599999
1698933600000,6.906,6.92075273,6.75266688,6.81557764,0,0,1698937199999
1698937200000,6.81557764,6.82289362,6.676,6.6865003,0,0,1698940799999
1698940800000,6.6865003,6.71151876,6.49606848,6.64184226,0,0,1698944399999
1698944400000,6.64159675,6.739,6.60493183,6.72528484,0,0,1698947999999
1698948000000,6.72528484,6.72544061,6.661,6.68203779,0,0,1698951599999
1698951600000,6.68203779,6.768,6.6666998,6.75638002,0,0,1698955199999
1698955200000,6.758,6.768,6.684,6.70561303,0,0,1698958799999
1698958800000,6.70552479,6.7075036,6.641,6.68198873,0,0,1698962399999
