fundingTime,fundingRate,markPrice
1698796800000,0.0001,0.9455
1698825600000,0.0001,0.9437
1698854400000,0.0001,0.9321
1698883200001,0.00051851,1.0415455
1698912000000,0.00030021,1.00373785
1698940800000,0.00014978,0.9686
1698969600000,0.0001296,0.9908
1698998400000,0.0001,0.95464673
1699027200000,0.0001,0.985
1699056000000,0.0001,1.06047211
1699084800000,0.00010955,1.06310828
1699113600000,0.0001,1.0564
1699142400000,0.0001,1.0969
1699171200000,0.0001,1.0931463
1699200000000,0.0001,1.0753
1699228800000,0.0001,1.09057197
1699257600001,0.0001,1.0816
1699286400000,0.0001,1.1124
1699315200001,0.0001,1.1248
1699344000000,0.0001,1.0998
1699372800000,0.0001,1.06139724
1699401600000,0.0001,1.0832
1699430400000,0.00011353,1.07314349
1699459200000,0.0001,1.0696
1699488000000,0.00017947,1.0937194
1699516800000,0.00017924,1.1029
1699545600000,0.00030136,1.133
1699574400000,0.0001,1.20877969
1699603200000,0.00031703,1.1757
1699632000000,0.00015545,1.15450154
1699660800000,0.0002654,1.17430365
1699689600000,0.0001,1.13881201
1699718400000,0.00035653,1.1573
1699747200000,0.00039489,1.1385
1699776000000,0.00022193,1.146
1699804800001,0.00035452,1.1495
1699833600000,0.00050808,1.1569
1699862400000,0.00031652,1.1469
1699891200000,0.00038956,1.1833277
1699920000000,0.0001,1.1154
1699948800000,0.0001,1.1119
1699977600001,0.0001,1.09447114
1700006400000,0.0001,1.07722397
1700035200000,0.0001,1.09323618
1700064000000,0.0001,1.1366
1700092800000,0.0001,1.143
1700121600000,0.00038983,1.16479731
1700150400001,0.00033392,1.1168
1700179200000,0.0001,1.0791
1700208000001,0.00015057,1.0778458
1700236800001,0.0001,1.0032981
1700265600000,0.0001,1.04318916
1700294400000,0.0001,1.00992639
1700323200000,0.0001,1.03687314
1700352000000,0.0001,1.033
1700380800000,0.0001,1.03432162
1700409600000,0.0001,1.02809689
1700438400000,0.00016497,1.0468
1700467200000,0.00015109,1.0613
1700496000000,0.00016393,1.06201058
1700524800000,0.0001,1.0276
1700553600000,0.0001,1.01611194
1700582400000,0.0001,1.0143
1700611200000,0.0001,0.95012874
1700640000000,0.0001,0.9874
1700668800000,0.0001,0.99997227
1700697600000,0.0001,1.01920464
1700726400000,0.0001,1.033
1700755200001,0.0001,1.0075
1700784000000,0.0001,1.01667357
1700812800000,0.0001,1.04105451
1700841600000,0.0001,1.06972732
1700870400000,0.0001,1.0497
1700899200000,0.0001,1.0750333
1700928000000,0.0001,1.06183037
1700956800000,0.0001,1.067
1700985600000,0.0001,1.0638
1701014400000,0.0001,1.0297
1701043200000,0.0001,1.0374
1701072000001,0.0001,1.01199547
1701100800000,0.0001,0.99414342
1701129600000,0.0001,1.01758226
1701158400000,0.0001,0.9985226
1701187200000,0.0001,1.0113
1701216000001,0.0001,1.01745573
1701244800000,0.0001,1.02143529
1701273600000,0.0001,1.00404869
1701302400000,0.0001,1.00815189
1701331200000,0.0001,1.008
1701360000000,0.0001,1.00794292
1701388800000,0.0001,1.00642719
1701417600000,0.0001,1.02857118
1701446400000,0.0001,1.03052642
1701475200000,0.0001,1.03415139
1701504000000,0.0001,1.04232322
1701532800000,0.0001,1.08367282
1701561600000,0.00022635,1.1117
1701590400000,0.00014176,1.10164778
1701619200000,0.00018203,1.08886231
1701648000000,0.00022777,1.0977453
1701676800000,0.00033318,1.12081072
1701705600000,0.0001,1.07152104
1701734400000,0.00026177,1.0934
1701763200000,0.00023296,1.06546315
1701792000000,0.0002625,1.0759
1701820800000,0.00037676,1.09153957
1701849600000,0.00028957,1.0737
1701878400000,0.00027005,1.0692
1701907200000,0.00027042,1.0595
1701936000000,0.00042547,1.0809
1701964800000,0.00025401,1.13911117
1701993600000,0.00064206,1.1726
1702022400000,0.00039485,1.16046389
1702051200000,0.00039438,1.1578
1702080000000,0.00044609,1.1671
1702108800000,0.00066944,1.2225
1702137600000,0.00027423,1.1882
1702166400000,0.00020788,1.1399
1702195200000,0.00015589,1.1499
1702224000000,0.00019202,1.1519
1702252800000,0.00033675,1.1568
1702281600000,0.0001,1.07123938
