open_time,open,high,low,close,volume,quote_vol,close_time
1698796800000,11.327,11.393,11.261,11.304,594226,6732172.223,1698800399999
1698800400000,11.305,11.329,11.234,11.258,346174,3906479.261,1698803999999
1698804000000,11.259,11.335,11.224,11.27,258887,2921644.391,1698807599999
1698807600000,11.268,11.285,11.2,11.226,245249,2754891.725,1698811199999
1698811200000,11.226,11.233,11.165,11.202,281076,3147899.321,1698814799999
1698814800000,11.202,11.202,10.978,10.995,822863,9108860.677,1698818399999
1698818400000,10.996,11.068,10.923,11.065,656212,7213146.836,1698821999999
1698822000000,11.065,11.144,11.039,11.063,508592,5640923.319,1698825599999
1698825600000,11.063,11.196,11.047,11.181,471519,5245308.72,1698829199999
1698829200000,11.181,11.246,11.128,11.171,556200,6218256.229,1698832799999
1698832800000,11.171,11.176,11.015,11.029,603804,6696342.113,1698836399999
1698836400000,11.029,11.094,10.991,11.058,540550,5970570.886,1698839999999
1698840000000,11.058,11.206,10.948,11.195,894841,9918808.084,1698843599999
1698843600000,11.194,11.303,10.99,11.081,1649498,18374747.703,1698847199999
1698847200000,11.082,11.174,10.876,10.961,1387594,15314618.936,1698850799999
1698850800000,10.96,11.076,10.94,11.051,953193,10498296.832,1698854399999
1698854400000,11.052,11.147,11.033,11.128,661764,7342482.654,1698857999999
1698858000000,11.129,11.25,11.111,11.228,780081,8707194.78,1698861599999
1698861600000,11.229,11.851,11.223,11.796,4204477,48755553.234,1698865199999
1698865200000,11.796,12.257,11.795,11.984,4565057,55112611.877,1698868799999
1698868800000,11.983,12.207,11.983,12.119,1961502,23756640.275,1698872399999
1698872400000,12.12,12.219,12.035,12.205,1516501,18394489.631,1698875999999
1698876000000,12.205,12.364,12.113,12.149,1728152,21154850.637,1698879599999
1698879600000,12.149,12.245,12.088,12.239,877829,10675554.846,1698883199999
1698883200000,12.238,12.4,12.173,12.255,1433181,17620385.087,1698886799999
1698886800000,12.255,12.322,12.15,12.183,666279,8148984.079,1698890399999
1698890400000,12.183,12.427,12.135,12.384,980563,12048755.088,1698893999999
1698894000000,12.385,12.556,12.372,12.417,1316009,16395989.059,1698897599999
1698897600000,12.416,12.437,12.161,12.182,944029,11609779.228,1698901199999
1698901200000,12.183,12.21,11.936,11.948,1417096,17059310.668,1698904799999
1698904800000,11.948,12.09,11.926,12.05,867148,10413658.075,1698908399999
1698908400000,12.05,12.143,11.981,12.016,1829822,22099938.388,1698911999999
1698912000000,12.017,12.098,11.855,12.093,1112058,13306070.008,1698915599999
1698915600000,12.093,12.105,12,12.002,646865,7796254.934,1698919199999
1698919200000,12.002,12.057,11.961,11.991,661372,7946420.42,1698922799999
1698922800000,11.992,12.095,11.945,12.088,693572,8346159.843,1698926399999
1698926400000,12.088,12.136,12,12.051,677205,8168492.941,1698929999999
1698930000000,12.051,12.068,11.74,11.878,1862023,22168816.444,1698933599999
1698933600000,11.878,11.937,11.638,11.783,1549834,18256023.28,1698937199999
1698937200000,11.784,11.79,11.53,11.533,1566264,18248400.224,1698940799999
1698940800000,11.532,11.7,11.43,11.651,1910722,22149501.876,1698944399999
1698944400000,11.65,11.806,11.553,11.804,1302085,15214807.336,1698947999999
1698948000000,11.803,11.831,11.72,11.76,833455,9814726.215,1698951599999
1698951600000,11.759,11.9,11.723,11.893,611858,7228222.452,1698955199999
1698955200000,11.893,11.975,11.805,11.869,965868,11478258.291,1698958799999
1698958800000,11.869,11.915,11.766,11.915,373526,4418180.235,1698962399999
1698962400000,11.915,11.927,11.755,11.818,432137,5115633.21,1698965999999
1698966000000,11.818,11.919,11.748,11.884,369028,4370184.798,1698969599999
1698969600000,11.887,11.889,11.6,11.672,860377,10110315.402,1698973199999
1698973200000,11.671,11.686,11.417,11.551,1011517,11691136.789,1698976799999
1698976800000,11.549,11.735,11.51,11.728,546652,6351143.418,1698980399999
1698980400000,11.728,11.774,11.665,11.735,306827,3594574.759,1698983999999
1698984000000,11.735,11.766,11.528,11.582,451918,5254798.358,1698987599999
1698987600000,11.582,11.799,11.545,11.793,474220,5530470.925,1698991199999
1698991200000,11.793,11.888,11.779,11.836,565985,6698129.329,1698994799999
1698994800000,11.836,11.932,11.777,11.803,571522,6774391.298,1698998399999
1698998400000,11.802,11.895,11.7,11.84,640721,7568588.798,1699001999999
1699002000000,11.84,11.847,11.65,11.689,684334,8046552.054,1699005599999
1699005600000,11.689,11.697,11.556,11.686,698124,8121984.066,1699009199999
1699009200000,11.685,11.734,11.631,11.693,397478,4642510.807,1699012799999
1699012800000,11.693,11.837,11.626,11.805,583014,6846969.654,1699016399999
1699016400000,11.806,11.895,11.68,11.888,640191,7537513.957,1699019999999
1699020000000,11.886,12.021,11.844,12.009,1039764,12420195.992,1699023599999
1699023600000,12.01,12.088,11.955,12.028,1116412,13412367.61,1699027199999
1699027200000,12.027,12.163,11.979,12.134,1156256,13949460.492,1699030799999
1699030800000,12.135,12.15,11.857,11.923,799931,9575918.68,1699034399999
1699034400000,11.922,12.164,11.9,12.06,729722,8795767.755,1699037999999
1699038000000,12.059,12.098,11.992,12.045,414437,4989973.907,1699041599999
1699041600000,12.046,12.199,12.006,12.114,556827,6745670.968,1699045199999
1699045200000,12.114,12.162,12.072,12.105,334052,4046332.647,1699048799999
1699048800000,12.105,12.154,12.06,12.128,269839,3266617.897,1699052399999
1699052400000,12.129,12.147,12.054,12.121,261392,3163457.271,1699055999999
1699056000000,12.12,12.124,11.991,12.086,407234,4905037.546,1699059599999
1699059600000,12.087,12.196,12.061,12.163,491825,5968793.109,1699063199999
1699063200000,12.163,12.243,12.126,12.158,405312,4938062.154,1699066799999
1699066800000,12.157,12.175,12.101,12.151,247689,3006181.635,1699070399999
1699070400000,12.152,12.204,12.048,12.06,413307,5008724.804,1699073999999
1699074000000,12.06,12.088,12.015,12.067,332922,4010152.928,1699077599999
1699077600000,12.067,12.157,12.063,12.087,378440,4585010.054,1699081199999
1699081200000,12.087,12.117,12.001,12.021,461640,5570435.552,1699084799999
1699084800000,12.021,12.102,11.957,12.099,473901,5707532.279,1699088399999
1699088400000,12.099,12.166,12.052,12.056,384186,4656608.212,1699091999999
1699092000000,12.057,12.125,11.993,12.034,477872,5764401.708,1699095599999
1699095600000,12.034,12.094,11.978,12.006,379832,4567596.497,1699099199999
1699099200000,12.007,12.12,11.977,12.112,416546,5013132.077,1699102799999
1699102800000,12.113,12.15,12.01,12.031,485067,5863006.678,1699106399999
1699106400000,12.032,12.075,11.989,12.026,416447,5009272.793,1699109999999
1699110000000,12.026,12.085,11.924,12.075,632673,7591913.874,1699113599999
1699113600000,12.074,12.12,12.035,12.084,399521,4827820.466,1699117199999
1699117200000,12.084,12.136,12.066,12.111,270692,3276564.897,1699120799999
1699120800000,12.111,12.119,12.038,12.107,230319,2782517.713,1699124399999
1699124400000,12.108,12.111,12.042,12.063,202489,2444886.587,1699127999999
1699128000000,12.064,12.09,12.039,12.071,217927,2630053.069,1699131599999
1699131600000,12.072,12.14,12.066,12.114,314237,3806987.629,1699135199999
1699135200000,12.113,12.231,12.059,12.225,571206,6937347.493,1699138799999
1699138800000,12.225,12.336,12.195,12.227,647394,7942688.302,1699142399999
1699142400000,12.227,12.269,12.15,12.225,482063,5883810.596,1699145999999
1699146000000,12.224,12.309,12.203,12.26,363681,4456018.678,1699149599999
1699149600000,12.261,12.263,12.103,12.253,462300,5628245.359,1699153199999
1699153200000,12.253,12.374,12.226,12.356,470799,5789346.483,1699156799999
1699156800000,12.357,12.374,12.28,12.312,413672,5099641.33,1699160399999
1699160400000,12.313,12.41,12.289,12.316,438139,5414475.858,1699163999999
1699164000000,12.317,12.323,12.223,12.249,346188,4251695.959,1699167599999
1699167600000,12.249,12.408,12.238,12.406,404422,4983530.496,1699171199999
1699171200000,12.406,12.49,12.296,12.307,743801,9227579.446,1699174799999
1699174800000,12.307,12.657,12.296,12.561,1038147,12994196.289,1699178399999
1699178400000,12.56,12.612,12.48,12.522,703841,8827227.394,1699181999999
1699182000000,12.522,12.6,12.485,12.573,517336,6492259.656,1699185599999
1699185600000,12.573,12.693,12.485,12.543,995584,12526691.907,1699189199999
1699189200000,12.543,12.567,12.208,12.26,1173469,14547527.957,1699192799999
1699192800000,12.257,12.4,12.246,12.317,1000514,12342538.791,1699196399999
1699196400000,12.317,12.328,12.201,12.276,613498,7526523.656,1699199999999
1699200000000,12.276,12.412,12.243,12.389,386828,4773787.86,1699203599999
1699203600000,12.389,12.49,12.348,12.417,573789,7132760.662,1699207199999
1699207200000,12.416,12.444,12.361,12.406,322503,4000128.867,1699210799999
1699210800000,12.406,12.472,12.353,12.366,357021,4429615.495,1699214399999
1699214400000,12.367,12.46,12.299,12.338,327263,4052410.121,1699217999999
1699218000000,12.338,12.351,12.077,12.19,724645,8858182.493,1699221599999
1699221600000,12.192,12.331,12.182,12.328,294554,3609457.693,1699225199999
1699225200000,12.327,12.455,12.323,12.36,473903,5869836.37,1699228799999
1699228800000,12.36,12.469,12.305,12.466,453402,5615269.505,1699232399999
1699232400000,12.467,12.566,12.387,12.422,545424,6808776.082,1699235999999
1699236000000,12.422,12.529,12.41,12.509,302182,3767311.088,1699239599999
1699239600000,12.509,12.676,12.437,12.577,503898,6329013.621,1699243199999
1699243200000,12.578,12.665,12.376,12.452,658707,8242763.207,1699246799999
1699246800000,12.453,12.501,12.211,12.398,852419,10522459.477,1699250399999
1699250400000,12.398,12.714,12.359,12.663,1003214,12605758.749,1699253999999
1699254000000,12.664,12.676,12.517,12.63,808424,10181829.368,1699257599999
1699257600000,12.632,12.815,12.556,12.769,632423,8013276.056,1699261199999
1699261200000,12.77,12.96,12.731,12.954,1115803,14293508.653,1699264799999
1699264800000,12.954,13.153,12.9,13.027,1500160,19542354.751,1699268399999
1699268400000,13.026,13.097,12.969,13.044,621446,8108696.132,1699271999999
1699272000000,13.043,13.177,12.959,13.092,870918,11385350.709,1699275599999
1699275600000,13.092,13.142,12.86,12.963,1196611,15539632.61,1699279199999
1699279200000,12.964,13.025,12.903,12.955,634453,8215640.392,1699282799999
1699282800000,12.957,13.022,12.876,12.995,690200,8933177.436,1699286399999
1699286400000,12.994,13.035,12.859,12.903,755197,9771945.522,1699289999999
1699290000000,12.903,12.95,12.81,12.88,505887,6513438.674,1699293599999
1699293600000,12.879,13.007,12.778,12.954,589218,7596192.756,1699297199999
1699297200000,12.954,13.049,12.935,13.023,342755,4457451.45,1699300799999
1699300800000,13.022,13.027,12.912,12.993,359583,4660560.756,1699304399999
1699304400000,12.994,13.015,12.854,13.012,371820,4812773.708,1699307999999
1699308000000,13.012,13.098,12.995,13.091,253525,3306975.629,1699311599999
1699311600000,13.091,13.114,12.972,13.085,571967,7465735.311,1699315199999
1699315200000,13.086,13.115,12.844,12.945,828635,10744050.306,1699318799999
1699318800000,12.942,13.1,12.904,12.961,665982,8660589.957,1699322399999
1699322400000,12.961,13.002,12.66,12.75,666064,8541291.143,1699325999999
1699326000000,12.75,12.927,12.711,12.894,443442,5695524.796,1699329599999
1699329600000,12.894,12.91,12.809,12.895,300330,3863077.421,1699333199999
1699333200000,12.893,12.976,12.799,12.972,386001,4967728.677,1699336799999
1699336800000,12.973,13.037,12.904,13.012,378954,4916457.166,1699340399999
1699340400000,13.012,13.08,12.92,13.051,418175,5436241.011,1699343999999
1699344000000,13.051,13.061,12.868,12.913,561824,7280335.676,1699347599999
1699347600000,12.913,12.927,12.638,12.77,1055800,13518740.565,1699351199999
1699351200000,12.77,12.802,12.625,12.651,954320,12136795.699,1699354799999
1699354800000,12.652,12.797,12.612,12.688,591269,7521284.242,1699358399999
1699358400000,12.687,12.764,12.61,12.752,540396,6861387.926,1699361999999
1699362000000,12.753,12.764,12.595,12.709,576315,7300406.277,1699365599999
1699365600000,12.708,12.761,12.615,12.666,754050,9567934.809,1699369199999
1699369200000,12.666,12.675,12.307,12.513,1407567,17561270.94,1699372799999
1699372800000,12.513,12.566,12.41,12.422,598010,7470576.403,1699376399999
1699376400000,12.421,12.631,12.291,12.622,979154,12180761.419,1699379999999
1699380000000,12.621,12.885,12.613,12.84,1164497,14889312.981,1699383599999
1699383600000,12.839,12.901,12.75,12.831,544403,6979366.06,1699387199999
1699387200000,12.832,12.994,12.803,12.968,636877,8222334.372,1699390799999
1699390800000,12.967,12.977,12.859,12.904,419256,5411657.168,1699394399999
1699394400000,12.905,12.913,12.735,12.769,431339,5525419.534,1699397999999
1699398000000,12.77,12.844,12.743,12.813,247901,3173973.04,1699401599999
1699401600000,12.814,12.84,12.661,12.763,418777,5342644.486,1699405199999
1699405200000,12.764,12.849,12.707,12.816,231416,2959235.892,1699408799999
1699408800000,12.817,12.849,12.771,12.779,197947,2537126.785,1699412399999
1699412400000,12.78,12.795,12.728,12.781,195345,2493404.468,1699415999999
1699416000000,12.782,12.848,12.749,12.803,217748,2786449.967,1699419599999
1699419600000,12.802,12.814,12.729,12.751,187298,2390391.716,1699423199999
1699423200000,12.751,12.879,12.696,12.846,458868,5875825.801,1699426799999
1699426800000,12.845,12.913,12.797,12.819,313680,4031803.846,1699430399999
1699430400000,12.819,12.88,12.776,12.817,380698,4886187.077,1699433999999
1699434000000,12.818,12.836,12.781,12.818,278134,3562259.399,1699437599999
1699437600000,12.818,12.892,12.805,12.875,350829,4511212.438,1699441199999
1699441200000,12.876,12.907,12.8,12.804,684565,8792541.248,1699444799999
1699444800000,12.803,12.881,12.752,12.805,439408,5627933.675,1699448399999
1699448400000,12.806,12.855,12.739,12.851,359477,4601751.991,1699451999999
1699452000000,12.851,12.886,12.774,12.8,406066,5212418.64,1699455599999
1699455600000,12.8,12.827,12.7,12.78,536200,6832608.348,1699459199999
1699459200000,12.779,12.925,12.741,12.902,512678,6587511.665,1699462799999
1699462800000,12.903,12.997,12.872,12.95,705873,9125990.877,1699466399999
1699466400000,12.949,13.057,12.923,13.052,783400,10189626.047,1699469999999
1699470000000,13.052,13.113,12.983,13.008,685708,8940775.208,1699473599999
1699473600000,13.009,13.065,12.92,13.025,513480,6677884.788,1699477199999
1699477200000,13.025,13.169,12.965,13.061,818433,10690448.351,1699480799999
1699480800000,13.062,13.16,13.062,13.091,485441,6360863.261,1699484399999
1699484400000,13.09,13.115,12.985,12.994,438264,5722510.897,1699487999999
1699488000000,12.993,13.074,12.912,13.066,534064,6938921.272,1699491599999
1699491600000,13.066,13.149,13.003,13.087,422080,5522209.316,1699495199999
1699495200000,13.087,13.325,13.069,13.197,896488,11847493.353,1699498799999
1699498800000,13.195,13.236,13.116,13.229,483029,6364760.729,1699502399999
1699502400000,13.229,13.396,13.215,13.314,578882,7698684.396,1699505999999
1699506000000,13.314,13.323,13.206,13.26,405850,5380631.134,1699509599999
1699509600000,13.26,13.489,13.256,13.475,654224,8767320.23,1699513199999
1699513200000,13.474,13.49,13.262,13.306,725923,9703506.724,1699516799999
1699516800000,13.306,13.432,13.305,13.379,344945,4615905.123,1699520399999
1699520400000,13.38,13.455,13.327,13.414,563434,7546558.16,1699523999999
1699524000000,13.413,13.75,13.375,13.62,1683272,22937060.713,1699527599999
1699527600000,13.619,13.728,13.508,13.713,653882,8898620.705,1699531199999
1699531200000,13.714,13.785,13.62,13.653,1066456,14622088.492,1699534799999
1699534800000,13.652,13.677,13.512,13.663,780019,10611642.912,1699538399999
1699538400000,13.666,13.934,13.631,13.87,2439253,33628841.695,1699541999999
1699542000000,13.87,13.987,13.55,13.753,2316462,31991671.297,1699545599999
1699545600000,13.751,13.851,11.627,12.901,5624878,72221414.219,1699549199999
1699549200000,12.901,13.125,12.793,13.074,1434116,18611847.166,1699552799999
1699552800000,13.075,13.081,12.688,12.725,1095050,14104481.233,1699556399999
1699556400000,12.724,12.82,12.575,12.729,906508,11521431.392,1699559999999
