fundingTime,fundingRate,markPrice
1698796800000,0.0001,0.44316285
1698825600000,0.0001,0.4336
1698854400000,0.0001,0.43685845
1698883200001,0.00039499,0.4655622
1698912000000,0.00048614,0.4639
1698940800000,0.0001,0.44801053
1698969600000,0.00022222,0.45888518
1698998400000,0.0001803,0.44119226
1699027200000,0.0001,0.4474408
1699056000000,0.0001,0.45574127
1699084800000,0.00030384,0.4573487
1699113600000,0.00018944,0.45549155
1699142400000,0.00033207,0.5067
1699171200000,0.00041981,0.4975
1699200000000,0.00020439,0.4868481
1699228800000,0.00014897,0.50025367
1699257600001,0.00020751,0.49804511
1699286400000,0.00016929,0.52149415
1699315200001,0.00013849,0.52882137
1699344000000,0.00016136,0.52593489
1699372800000,0.0001,0.5054
1699401600000,0.0001,0.5238
1699430400000,0.0001,0.53429764
1699459200000,0.00023248,0.57895936
1699488000000,0.00034822,0.57879447
1699516800000,0.00014133,0.5877
1699545600000,0.0005808,0.5629
1699574400000,0.0001,0.5612
1699603200000,0.0001566,0.5505
1699632000000,0.0001,0.547
1699660800000,0.00046462,0.6103
1699689600000,0.00029373,0.5795
1699718400000,0.00037899,0.5929
1699747200000,0.00039172,0.59271267
1699776000000,0.00054401,0.59829825
1699804800001,0.00019659,0.60505469
1699833600000,0.00037006,0.61830311
1699862400000,0.0001,0.6228
1699891200000,0.00010254,0.6359
1699920000000,0.00020319,0.60111897
1699948800000,0.0001,0.6158
1699977600001,0.0001,0.5893
1700006400000,0.0001,0.56631339
1700035200000,0.0001,0.58242186
1700064000000,0.00015632,0.5973
1700092800000,0.0002054,0.61925236
1700121600000,0.00027123,0.62833632
1700150400001,0.0001,0.5745
1700179200000,0.0001,0.56542084
1700208000001,0.0001,0.56844173
1700236800001,0.0001,0.52816834
1700265600000,0.0001,0.5541
1700294400000,0.0001,0.5333
1700323200000,0.0001,0.5464
1700352000000,0.0001,0.546778
1700380800000,0.0001,0.54909208
1700409600000,0.0001,0.54404517
1700438400000,0.0001,0.56340696
1700467200000,0.00022633,0.5683
1700496000000,0.0001,0.566
1700524800000,0.0001,0.5551
1700553600000,0.0001,0.56078169
1700582400000,0.0001,0.5388
1700611200000,0.0001,0.50257598
1700640000000,0.0001,0.52271249
1700668800000,0.0001,0.5340095
1700697600000,0.0001,0.55643343
1700726400000,0.0001,0.5779
1700755200001,0.0001,0.5683
1700784000000,0.0001,0.5885746
1700812800000,0.0001,0.61041463
1700841600000,0.0001,0.62670936
1700870400000,0.0001,0.6270912
1700899200000,0.0001,0.65386541
1700928000000,0.0001,0.65521869
1700956800000,0.0001,0.65535359
1700985600000,0.0001,0.6399
1701014400000,0.0001,0.62147626
1701043200000,0.0001,0.6351
1701072000001,0.0001,0.6001
1701100800000,0.0001,0.58026813
1701129600000,0.0001,0.59320761
1701158400000,0.0001,0.57405464
1701187200000,0.0001,0.60012895
1701216000001,0.0001,0.61837761
1701244800000,0.0001,0.60774856
1701273600000,0.0001,0.585
1701302400000,0.0001,0.60111526
1701331200000,0.0001,0.6071
1701360000000,0.0001,0.59677653
1701388800000,0.0001,0.5971616
1701417600000,0.0001,0.6141
1701446400000,0.0001,0.61425325
1701475200000,0.0001,0.613
1701504000000,0.0001,0.6124221
1701532800000,0.0001,0.6211
1701561600000,0.0001,0.6258
1701590400000,0.00022991,0.61844818
1701619200000,0.00021559,0.60830964
1701648000000,0.00027371,0.6158
1701676800000,0.00043441,0.6262
1701705600000,0.0001,0.603
1701734400000,0.00035946,0.6293
1701763200000,0.00037327,0.6333
1701792000000,0.00015252,0.6379
1701820800000,0.00024886,0.6445
1701849600000,0.00028442,0.6283909
1701878400000,0.00023557,0.628
1701907200000,0.00013357,0.6207
1701936000000,0.00026956,0.6351
1701964800000,0.00023985,0.64012232
1701993600000,0.00048498,0.6721
1702022400000,0.00044965,0.6761
1702051200000,0.00030839,0.6864
1702080000000,0.000344,0.7038
1702108800000,0.00067039,0.7089
1702137600000,0.00039657,0.71940947
1702166400000,0.00022714,0.6784
1702195200000,0.0002289,0.6994
1702224000000,0.00023191,0.6883
1702252800000,0.00031231,0.69288029
1702281600000,0.00012028,0.65271802
1702310400000,0.0001,0.63611985
1702339200000,0.0001,0.6296
1702368000000,0.00015831,0.65656981
1702396800000,0.00023051,0.63574433
1702425600000,0.00039097,0.66042009
1702454400000,0.00018088,0.61982919
1702483200001,0.00017839,0.64281574
1702512000000,0.00020972,0.65339211
1702540800000,0.00021757,0.6504826
1702569600000,0.00024357,0.649
1702598400000,0.00024114,0.6550957
1702627200000,0.00024018,0.63607634
1702656000000,0.00032532,0.6311
1702684800000,0.00021019,0.61791588
1702713600000,0.00026248,0.6217286
1702742400001,0.00026361,0.6419
1702771200000,0.00019242,0.6326
1702800000000,0.0001208,0.60932714
1702828800000,0.00018263,0.61537857
1702857600000,0.00019181,0.6109898
1702886400001,0.0001,0.59287587
1702915200000,0.0001,0.58772433
1702944000000,0.00014877,0.6109
1702972800000,0.00013837,0.6481
1703001600000,0.00011174,0.64286889
1703030400000,0.0002589,0.6792
1703059200000,0.0001291,0.73009436
1703088000000,0.00016861,0.70654579
1703116800000,0.00015181,0.68821167
1703145600000,0.00017725,0.7053
1703174400000,0.00035247,0.682
1703203200000,0.00042774,0.68874666
1703232000000,0.00041181,0.66485583
1703260800000,0.00051508,0.69021064
1703289600000,0.00052508,0.69562575
1703318400001,0.0002127,0.7164074
1703347200000,0.00010561,0.70933623
1703376000000,0.00018342,0.75415006
1703404800000,0.00032213,0.72099839
1703433600000,0.00013044,0.728
1703462400000,0.00013525,0.71470629
1703491200000,0.00038696,0.7366
1703520000000,0.00041813,0.76049309
1703548800000,0.00044096,0.8174
1703577600000,0.0004951,0.8407
1703606400000,0.00025233,0.82974411
1703635200000,0.00029175,0.88457781
1703664000000,0.00029842,0.82624611
1703692800000,0.00055939,0.8487
1703721600000,0.00047729,0.83100702
1703750400000,0.00081525,0.80473835
1703779200000,0.0005505,0.80411458
1703808000001,0.00042431,0.79695593
1703836800000,0.00063545,0.77010665
1703865600000,0.00044179,0.8118
1703894400001,0.00053425,0.8065
1703923200000,0.00027397,0.79205371
1703952000000,0.00028146,0.79007497
1703980800000,0.00036116,0.80883009
1704009600001,0.00046424,0.8221
1704038400000,0.0004147,0.8038
1704067200000,0.0002841,0.7759
1704096000000,0.00024704,0.77095751
1704124800000,0.00038114,0.8052
1704153600000,0.00054856,0.84417921
