open_time,open,high,low,close,volume,quote_vol,close_time
1698796800000,2.0321,2.0417,2.0071,2.0351,4238885,8574999.9427,1698800399999
1698800400000,2.0354,2.0423,1.988,1.99,3805923,7653524.3935,1698803999999
1698804000000,1.99,2.0067,1.9729,1.9869,3142510,6248436.452,1698807599999
1698807600000,1.987,2.0048,1.9757,1.9924,2555892,5088140.2098,1698811199999
1698811200000,1.9924,2.0014,1.9772,1.9829,2250930,4477306.3575,1698814799999
1698814800000,1.9829,1.9838,1.9304,1.9381,6453920,12620330.0408,1698818399999
1698818400000,1.9385,1.9639,1.9251,1.9516,4185930,8139143.8604,1698821999999
1698822000000,1.9515,1.9665,1.9118,1.9225,5873520,11398089.6616,1698825599999
1698825600000,1.9226,1.9451,1.9125,1.9321,4210721,8135330.3734,1698829199999
1698829200000,1.9322,1.9348,1.9096,1.9262,3736869,7184844.6611,1698832799999
1698832800000,1.9261,1.9265,1.8912,1.9013,3975526,7583272.3257,1698836399999
1698836400000,1.9011,1.9207,1.8987,1.9169,2368503,4524721.1891,1698839999999
1698840000000,1.9169,1.9229,1.8833,1.9143,5649422,10738761.3463,1698843599999
1698843600000,1.9142,1.9312,1.8566,1.8819,9552757,18075002.0139,1698847199999
1698847200000,1.8819,1.9091,1.8366,1.8548,7216785,13521320.0144,1698850799999
1698850800000,1.8545,1.87,1.8486,1.8623,4208505,7827724.3954,1698854399999
1698854400000,1.8623,1.8807,1.8533,1.8656,2529020,4721072.9616,1698857999999
1698858000000,1.8656,1.8825,1.8643,1.8781,2044929,3830037.6674,1698861599999
1698861600000,1.8782,1.93,1.8648,1.9006,7878730,14974676.7137,1698865199999
1698865200000,1.9005,1.9294,1.8743,1.8883,4287706,8168646.4062,1698868799999
1698868800000,1.8882,1.9269,1.8874,1.9235,3501819,6693952.9478,1698872399999
1698872400000,1.9235,1.9292,1.906,1.9238,3171757,6089657.3076,1698875999999
1698876000000,1.9236,1.9274,1.8724,1.8768,3149701,5974804.4809,1698879599999
1698879600000,1.8769,1.8916,1.8644,1.8861,2825912,5307367.6826,1698883199999
