fundingTime,fundingRate,markPrice
1698796800000,0.0001,2.03158608
1698825600000,0.0001,1.92192846
1698854400000,0.0001,1.86236072
1698883200001,0.0001,1.8861
1698912000000,0.0001,1.87008082
1698940800000,0.0001,1.7466409
1698969600000,0.0001,1.75042358
1698998400000,0.0001,1.7923
1699027200000,0.0001,1.83397193
1699056000000,0.0001,1.854
1699084800000,0.0001,1.87818449
1699113600000,0.0001,1.85420501
1699142400000,0.0001,1.86824334
1699171200000,0.0001,1.86866377
1699200000000,0.0001,1.8308
1699228800000,0.0001,1.82117099
1699257600001,0.0001,1.79250482
1699286400000,0.0001,1.80896431
1699315200001,0.0001,1.82192743
1699344000000,0.0001,1.835
1699372800000,0.0001,1.7467
1699401600000,0.0001,1.84215499
1699430400000,0.0001,1.81102307
1699459200000,0.0001,1.8106
1699488000000,0.0001,1.83252597
1699516800000,0.0001,1.85104599
1699545600000,0.0001,1.86676729
1699574400000,0.0001,1.75897783
1699603200000,0.0001,1.73439438
1699632000000,0.0001,1.7141
1699660800000,0.0001,1.96136437
1699689600000,0.0001,2.04541286
1699718400000,0.0001,1.9358676
1699747200000,0.00020099,1.93800657
1699776000000,0.0001,1.90733626
1699804800001,0.0001,1.95624561
1699833600000,0.0001551,1.9492
1699862400000,0.0001,1.94971564
1699891200000,0.00012222,2.4906
1699920000000,0.00025711,2.3096
1699948800000,0.0001,2.2515
1699977600001,0.0001,2.20237675
1700006400000,0.0001,2.30224852
1700035200000,0.0001,2.4318674
1700064000000,0.0001,2.3736
1700092800000,0.0001,2.359
1700121600000,0.0001,2.4044
1700150400001,0.0001,2.2014308
1700179200000,0.0001,2.1826
1700208000001,0.0001,2.06720374
1700236800001,0.0001,2.02386002
1700265600000,0.0001,1.9952
1700294400000,0.0001,1.87455975
1700323200000,0.0001,1.98836089
1700352000000,0.0001,2.05814341
1700380800000,0.0001,2.3357
1700409600000,0.0001,2.4316
1700438400000,0.00021409,2.41669829
1700467200000,0.00031898,2.5556
1700496000000,0.0001,2.32206086
1700524800000,0.0001,2.2001
1700553600000,0.0001,2.39626658
1700582400000,0.00014662,2.38256018
1700611200000,0.0001,2.23650448
1700640000000,0.0001,2.41346846
1700668800000,0.0001,2.5013585
1700697600000,0.0001,2.51275223
1700726400000,0.0001,2.4377
1700755200001,0.0001,2.31898495
1700784000000,0.0001,2.3797
1700812800000,0.0001,2.48265943
1700841600000,0.0001,2.4704
1700870400000,0.0001,2.4787186
1700899200000,0.0001,2.66082951
1700928000000,0.0001,2.72392801
1700956800000,0.00011064,2.7351
1700985600000,0.0001,2.65827717
1701014400000,0.0001315,2.6776
1701043200000,0.0001,2.66073906
1701072000001,0.0001,2.70762601
1701100800000,0.0001,2.50531639
1701129600000,0.0001,2.50808373
1701158400000,0.0001,2.4459892
1701187200000,0.0001,2.45180986
1701216000001,0.0001,2.52033592
1701244800000,0.0001,2.56023621
1701273600000,0.0001,2.47017523
1701302400000,0.0001,2.34198646
1701331200000,0.0001,2.39410337
1701360000000,0.0001,2.41264109
1701388800000,0.0001,2.43509975
1701417600000,0.0001,2.46541314
1701446400000,0.0001,2.3996022
1701475200000,0.0001,2.4005351
1701504000000,0.0001,2.42045202
1701532800000,0.0001,2.4461382
1701561600000,0.0001,2.5559249
1701590400000,0.00023421,2.51084626
1701619200000,0.00011415,2.45396221
1701648000000,0.00012357,2.46503595
1701676800000,0.00046448,2.54873863
1701705600000,0.0001,2.3688
1701734400000,0.00020083,2.46373032
1701763200000,0.00014654,2.3995
1701792000000,0.0001,2.45551549
1701820800000,0.00028335,2.45202078
1701849600000,0.00012189,2.4727364
1701878400000,0.0001,2.4647
1701907200000,0.0001,2.43121206
1701936000000,0.0001,2.44209261
1701964800000,0.0001,2.4318
1701993600000,0.00031513,2.503
1702022400000,0.0003326,2.4886
1702051200000,0.00024107,2.44567797
1702080000000,0.00029692,2.48901355
1702108800000,0.000426,2.5183
1702137600000,0.00024423,2.5323621
1702166400000,0.00020886,2.48859086
1702195200000,0.00036126,2.6324
1702224000000,0.00028014,2.64473136
1702252800000,0.00048958,2.69124573
1702281600000,0.0001,2.4570524
1702310400000,0.0001,2.46521728
1702339200000,0.0001,2.4484
1702368000000,0.0001,2.4795
1702396800000,0.00011448,2.4081
1702425600000,0.0001545,2.41630334
1702454400000,0.0001,2.34012572
1702483200001,0.0001,2.5348
